olema	onn
need	neid
ja	ja
kallas	*kalda
peal	pial
ja	ja
meri	mere
kallas	*kaldal
ja	ja
seal	sial
olema	onn
kaitus	*kaittussid
see	seda
mina	ma
kuulma	*kuulin
et	ett
et	et
jälle	*jälle
kui	kui
ütlema	*üeldi
et	et
et	ett
põrsas	*põrsad
olema	onvad
et	et
mõni	mõni
pidama	pidi
nii	nii
paha	paha
silm	*silmäga
olema	õlema
et	et
pidama	pidi
põrsas	*põrsal
kui	kui
pidama	pidi
põrsas	*põrsast
nägema	nägema
siis	sis
pidama	pidi
kohe	kõhe
põrsas	*põrsas
haige	*aigest
jääma	*jäämä
ja	ja
siis	siis
panema	pandi
kaitus	*kaettussed
põlema	põlema
ja	ja
suitsetama	*suitsettatti
seal	sial
peal	pial
et	et
siis	sis
pidama	pidi
praavima	*praavima
kui	kui
palju	bali
seal	sial
tõsi	tõtt
olema	onn
see	seda
ei	i
teadma	tia
mina	mina
mina	maa
ei	i
teadma	tia
e	e
see	seda
e	e
see	seda
mina	ma
kuulma	*kuulsin
et	ett
laps	*lapsi
olema	on
pidama	pidattud
ka	kaa
suitsetama	*suitsettamma
jah	jahh
see	se
olema	on
küll	küll
et	ett
mõni	mõni
laps	laps
ei	ei
saama+ki	*saantki
terve	*tervess
saama	*saama
ja	ja
siis	siis
ühte+lugu	*ühte+lugu
üks	üks
haigus	*aigus
lõppema	*lõppes
teine	*tõine
hakkama	*akkas
ja	ja
siis	siis
olema	onn
kaitus	*kaittuste
peal	pial
ka	kaa
suitsetama	*suitsettattud
mina	minul
olema	on
küll	küll
laps	*lapsed
suur	*surred
aga	aga
mina	mina
need	neid
suitsetama	*suitsettand
küll	küll
ei	ei
olema	ole
mina	maa
ei	ij
olema	õle
nii+sugune	nii+sugust
asi	*asja
uskuma	*uskund
miski	midagi
mina	maa
olema	õlen
mõtlema	mõeld
et	et
need	need
olema	on
tühi	*tühjäd
tühi	*tühjäd
asi	*asjad
mis	miss
rääkima	*räägittaks
noh	nohh
jooksva	*juoksva
rohi	rohud
ütlema	*üeldasse
sõna+jalg	sõna+jalad
olema	olema
sõna+jalg	sõna+jalad
ütlema	*üeldasse
et	et
et	et
need	nied
leht	lehed
ja	ja
kõige	kõige
vars	*varsidega
et	et
pidama	piab
sinna	*sinne
koht	*kohta
panema	panema
aga	aga
see	seda
mina	maa
olema	olen
panema	pand
oma	oma
jalg	*jalgudelle
ja	ja
põlv	*põlvidelle
ja	ja
aga	a
mina	*mulle
olema	põle
nemad	nad
miski	*miski
tegema	teind
kui	kui
mina	ma
veel	viel
rohkem	*rohkemb
käima	*käisin
ja	ja
terve	*tervemb
olema	olin
ja	ja
siis	siis
mina	maa
panema	panin
kohe	kõhe
viima	vein
kohe	kõhe
voodi	*vuodi
sõna+jalg	sõna+jalad
ja	jaa
panema	panin
kohe	kõhe
lina	lina
peale	*piale
kohe	kõhe
ja	ja
hakkama	*akkasin
magama	magama
sõna+jalg	sõna+*jalgude
peale	*piale
ja	ja
siduma	sidusin
jalg	jalad
kinni	*kinni
ja	ja
ja	ja
põlv	*põlvedest
kinni	*kinni
ja	ja
aga	aga
see	seda
mina	maa
ei	ei
ei	ei
saama	saand
aru	aru
et	ett
et	et
nemad	nad
mina	*mulle
miski	midagi
tegema	tegid
aga	aga
kui	kui
mina	mull
üks+kord	üks+kõrd
jalg	jalad
haige	*aiged
kõvasti	kõvast
olema	õlid
et	et
mina	ma
viis	viis
nädal	nädäla
jo	juo
peenar	*piendra
ääres	ääres
olema	õlin
iga	iga
päev	päev
külili	külili
siis	siis
siis	sis
tegema	tegin
mina	ma
kõik	kõik
vann	*vannid
siis	siis
tegema	tegin
sipelgas	*sippelga
vann	*vannid
mere+sool	mere+*suola
vann	*vannid
ja	jaa
kadakas	kadakka
vann	*vannid
murelane	murelase
vann	*vannid
ah	ahh
no	noo
see	se
see	seda
mina	ma
ütlema+ki	*ütlesingi
murelane	murelase
vann	*vannid
sipelgas	*sippelga
vann	*vannid
ja	jaa
siis	sis
nõges	nõgese
vann	*vannid
heina+peber	*eina+*pepre
vann	*vannid
aga	aga
mina	maa
ei	i
teadma	tiand
miski	minestki
muu	muust
kõige	*kõige
rohkem	*rohkemb
kui	kui
see	seda
teadma	tian
et	et
et	et
kuiv	*kuiva
nõges	nõgestega
vihtlema	*vihtlesin
suur	*suure
nõges	nõgessettega
tegema	tegin
suur	*suure
viht	viha
ja	ja
siis	s
hakkama	*akkasin
varvas	*varvastest
peale	*piale
siia+saati	*siije+*saatte
põlv	*põlved
peksma	*peksasin
kõik	kõik
see	*selle
kuiv	*kuiva
nõges	nõgestega
puruks	puruss
siis	siis
olema	õli
lendama	*lendav
olema	on
noh	nohh
lendama	*lendav
haigus	*aiguss
ütlema	*üeldasse
et	ett
mis	miss
nii	nii
äkitsi	*äkkiste
lööma	lüöb
ja	ja
siis	siis
peale	*piale
see	*selle
lööma	lüöb
e	e
nii	nii
et	et
siis	sis
enam	enamb
inimene	inimene
ei	ei
saama	saa
rääkima	*rääkkida
ja	ja
siis	siis
e	e
mm	mm
lööma	lüöb
kõik	kõik
peale	*piale
see	*selle
sinine	sinisest
noh	noh
see	seda
ütlema	*üeldasse
et	et
et	et
need	nied
hall	*allid
pujukas	pujukkad
see	seda
vesi	vett
keetma	*kiedettasse
ja	ja
ja	ja
siis	siss
e	e
see	sedaa
pujukas	pujukka
hall	*alli
pujukas	pujukka
vesi	vett
andma	*annettakse
ja	ja
oder	*õtradega
segamisti	segamiste
ja	ja
siis	siis
oder	*õtradega
oder	*õtra
vesi	vett
see	sie
see	see
ja	ja
see	seda
pujukas	pujukka
vesi	vett
andma	*annettakse
need	neid
olema	onn
ju	ju
igal+pool	igal+puol
siin	siin
peenar	*piendrade
peal	piall
ja	ja
igal+pool	igal+puol
olema	on
hall	*allid
pujukas	pujukkad
ja	ja
siis	siis
niske	nist
mari	*marjad
küljes	*küljes
aga	aga
need	nied
ei	eij
olema	ole
mari	*marjad
need	nied
olema	on
niske	*niske
õis	*õijed
ja	ja
jääma+ki	*jäävätki
nii+moodi	nii+*muodi
see	seda
olema	onn
loom	*luomadell
see	seda
olema	onn
inimene	inimestel
see	seda
võima	võib
kõik	*kõikkidel
olema	*olla
see	seda
mina	maa
ei	i
teadma	tia
mis	minest
asi	asjast
tema	ta
tulema	tuleb
ütlema	*üeldasse
et	et
et	ett
loom	*luomadel
pidama	piab
e	e
e	e
külmetamine	*külmettamisest
tulema	tulema
kas	kas
siis	sis
inimene	inimesedel
tulema	tuleb
ka	kaa
külmetamine	*külmettamisest
või	vai
ja	ja
need	nied
hall	*allid
pujukas	pujukkad
pidama	*piavad
ka	kaa
vill	*villi
vastu	*vasta
olema	olema
noh	nohh
ka	kaa
tõmbama	tõmmab
nõnda	*ninda
sinine	sinisest
kõik	keik
siis	siis
kui	kui
inimene	inimene
saama	saab
surema	*surnud
siis	siis
tõmbama	*tõmmab
kust	kust
koht	kõhast
tema	ta
lööma	lüöb
siis	siis
tõmbama	*tõmmab
sealt	sialt
sinine	sinisest
kõik	keik
see	seda
mina	ma
olema	olen
kuulma	kuulnud
no	n
mina	ma
ei	i
teadma	tia
e	e
ikka	*ikka
e	e
ikka	*ikka
see	seda
ütlema	*ütlevad
et	et
kui	kui
inimene	inimene
vihastama	vihastab
väga	väga
ja	ja
siis	siis
kui	kui
inimene	inimene
e	e
väga	väga
külmetama	*külmettab
ka	kaa
külmetamine	*külmettamist
pidama	piab
lööma	*lüeme
ja	ja
vihastamine	vihastamisest
kui	kui
närv	*närvid
väga	väga
pingule	*pinguli
jääma	*jääväd
et	et
siis	sis
see	*sellest
tema	ta
pidama	piab
lööma	*lüöma
ehmatamine	*ehmattamist
noh	nohh
ehmatamine	*ehmattamisest
lööma	lüöb
kramp	kramp
ja	ja
krambi+haigus	*krambi+*aigus
mis	miss
inimene	inimene
jääma	jääb
ju	jo
kange	*kangest
kõik	kõik
ja	ja
et	et
liige	*liikmed
olema	onn
ju	jo
nii	nii
kange	*kanged
kõik	kõik
ja	ja
kõva	kõvad
et	et
ei	ei
liikuma	liigu
ju	ju
see	se
tulema	tuleb
ka	kaa
kartus	*karttusest
ja	ja
ehmatus	*ehmattusest
see	se
krambi+haigus	*krambi+*aigus
mina	mull
oma	omal
vana	vanemp
poeg	pueg
surema	suri
kramp	*kramppidesse
hommik	*ommikku
minema	*läksin
kodunt	kodunt
välja	*väl'ja
laps	laps
jääma	jäi
terve	*terve
tulema	tulin
lõikama	*lõikkamast
kodu	kodu
siis	siis
olema	õli
neljas	*neljäs
kord	kõrd
jo	jo
kramp	kramp
peal	pial
viis	viis
päev	*pääva
siis	sis
pealt	päält
jääma	*jäiväd
möllama	*möllasin
kummeli+tee	kammeli+tie
vann	*vannis
e	e
siis	ss
pidama	pidasin
ja	ja
siis	siis
nõnda	*ninda
et	t
et	ett
pealt	pialt
jääma	jäi
kramp	kramp
maha	maha
aga	aga
seest	siest
ikka	*ikka
tõmbama	*tõmmas
viis	viis
päev	*pääva
elama	elas
ja	ja
surema	suri
ära	ära
aga	aga
see	see
e	e
laps	*lastel
pidama	piab
tema	ta
tulema	tulema
ehmatus	*ehmattusest
mina	ma
kuulma	*kuulsin
pärast	pärast
ka	kaa
et	t
et	ett
e	e
hoidja	*oidja
olema	oli
panema	pand
laps	*lapse
kelder	*keldrije
et	et
e	e
miks	miks
e	e
laps	laps
võtma	*võttis
e	e
jooksma	*juoksi
ühte+lugu	*ühte+lugu
teine	*teise
tuba	tua
juurde	*juurde
ja	ja
siis	siis
siis	siis
olema	õli
see	*sellest
laps	laps
hakkama	*akkand
nii	nii
kartma	*karttama
ja	ja
olema	onn
haige	*aigest
jääma	jäänd
aga	aga
ega	ega
tema	ta
see	seda
ise	ise
siis	siis
mina	*mulle
ei	ei
ütlema	üeld
mina	ma
pärast	perast
kuulma	*kuulsin
kui	ku
tema	ta
olema	oli
jo	jo
mina	minult
väljas	*väljäs
