mh	mh
seal	sääl
olema	ol'id
oma	oma
kiri	kirjad
juures	juures
kes	kiss
tema	ta
surema	`surnud
olema	on
olema	olnud
ja	ja
rist	ris't
olema	`ol'li
ka	kaa
peale	pääle
tegema	`tehtud
sinna	senna
haud	avva
peale	päle
ja	ja
ja	ja
see	see
haud	aud
olema	`ol'li
seal	sääl
seda+viisi	seda+visi
üks	ühe
kindral	`kinrali
haud	aud
olema	on
kui	kui
sealt	sält
haud	avva
mägi	mäe
juurest	juurest
minema	läheb
tee	tee
edasi	edasi
kirik	kirikku
uks	ukse
eest	eest
läbi	läbi
vot	vot
kirik	kirikkut
teie	te
nägema	`näette
ju	ju
ja	ja
kirik	kirikku
uks	ukse
eest	eest
läbi	läbi
ja	ja
sealt	säält
kirik	kirikku
maja	maea
juurest	juurest
läbi	läbi
ja	ja
siis	siss
pöörama	pöörab
tee	tee
seda+viisi	seda+visi
siis	siss
minema	läheb
üks	üks
siuke	`seukke
maa	maa
jälle	jälle
tükk	tükk
minema	läheb
vesi	`veesse
ja	ja
seal	sääl
olema	`ol'li
siis	siss
enne	enne
piiri+valvur	piiri+`valvuritte
maja	maea
ka	kahh
kutsuma	kutsutti
kordon	`kardon
ja	ja
seal	sääl
olema	`ol'lid
siis	siss
nõnda	nõnda
tooma	`toodi
õppus	`õppuselle
välja	`väl'la
mees	mehi
õpetama	õppettad'i
seal	sääl
olema	`ol'li
sõdur	sõdurid
olema	`ol'lid
seal	sääl
nõnda	nõnda
enne	enne
kutsuma	kutsutti
soldat	soldat'tid
olema	`ol'lid
ikka	ikki
piiri+valve	piiri+`valved
ja	ja
siis	siss
kes	kiss
see	seda
meri	mere
äär	äärt
valvama	`valvast
käima	käisid
välja	`väl'la
aga	aga
siis	s
nemad	nende
jaoks	jaoks
olema	`ol'li
siis	siss
maja	maea
ja	ja
kaks	kaks
puu	puud
olema	on
veel	veel
see	selle
ee	e
hoov	oovist
ee	e
plank	plank
olema	`ol'li
ümber	`ümber
ja	ja
kõik	kõik
see	se
sõdur	sõduri
valve+putka	`valve+but'ka
olema	`ol'li
ka	kaa
seal	säl
väljas	`väl'las
ja	ja
siis	siss
kui	kui
meie	me
seal	säl
meri	mere
ääres	`ääres
käima	keisime
aga	aga
noh	noohh
seal	sääl
juures	`juures
tulema	`tul'li
natuke	nattukke
eemalt	`eemamalt
läbi	läbi
käima	`käija
kui	kui
mina	ma
all	all
kool	`kool'is
käima	käisi
siis	siss
olema	`ol'li
see	see
vaht	vah't
kutsuma	kutsutti
vaht+meister	vah+`meister
see	se
ülem	ülem
nemad	neil
siis	siss
see	sellel
olema	`ol'li
pere+kond	pere+gond
ka	kahh
siin	siin
naine	naene
ja	ja
laps	laps
ja	ja
käima	käis
meie	medega
üks	ühes
kool	`kool'is
ja	ja
siis	siis
tema	tema
tellima	`tel'lis
meie	meid
oma	omale
külla	`külla
siis	siss
käima	käisin
mina	mina
ka	kaa
seal	säl
maja	maeas
sees	sihes
ära	ära
ja	ja
ja	ja
viima	viis
õhtul	`õhtul
veel	vel
sinna	`sõnna
oma	omale
ja	ja
see	see
soldat	soldat
saatma	saadetti
meie	meid
kooli+maja	kool'i+maeast
tagasi	tagasi
tooma	`tooma
see	see
olema	`ol'li
siis	sis
nii	nii
palju	pal'ju
maa	maad
käima	`käija
kooli+maja	kool'i+maeast
sinna	`senna
kui	kui
siit	siit
nüüd	nüid
kodu	kodus
minema	`minna
siuke	`seukke
asi	as'i
olema	`ol'li
püük	püigi
plats	plat's
olema	`ol'li
siis	siss
ka	ka
seal+samas	sääl+`sammas
jälle	jälle
natuke	nattukke
maa	maad
ö	ö
tagasi	tagasi
tulema	tulla
aga	aga
see	see
kordon	`kardun
või	või
maja	maea
piiri+valve	piiri+`valve
maja	maea
olema	`ol'li
kõige	kõige
viimane	viimatse
nukk	nukka
sees	sihes
ja	ja
seal	sääl
olema	`ol'li
püügi+mees	püi+meste
maja	maeasi
olema	`ol'li
seal	säl
neli	neli
viis	viis
väike	`väikkest
püügi+maja	püi+maea
olema	`ol'li
kus	kuss
mees	mehed
sees	sihes
soojutama	soojuttasid
oma	omal
sööma	`süija
tegema	tegid
ja	ja
magama	magasid
kui	kui
nemad	nad
meri	merelt
tulema	`tul'lid
ka	ka
seal	sääl
olema	`ol'li
mina	minu
isa	isal
maja	maea
ja	ja
pärast	pärast
ka	ka
mees	mees
tegema	tegi
oma	omale
maja	maea
kui	kui
see	see
sealt	sält
vahe+pealt	vahe+bält
ära	ära
juba	juba
lagunema	lagus
ja	ja
nii+moodi	nii+`moodu
olema	`ol'lid
siis	sis
need	ne
püük	püi
plats	plat'sid
ja	ja
seal	sääl
käima	käivad
ka	ka
nüüd+ki	`nüit+ki
veel	veel
mõni+kord	mõni+gord
paat	paad'id
püügi+mees	püigi+mehed
sinna	`senna
äärde	`äärde
kuivatama	kuivattadi
püünis	püinisid
aga	aga
ei	ei
püüdma	`püittud
miski	midagi
seal	sääl
olema	`ol'li
lööma	`löödud
seuke	`seuksed
puu	puud
maha	maha
seal	sääl
rist	ris't
sees	sihes
olema	`ol'li
ja	ja
kui	kui
tooma	`tood'i
võrk	võrk
välja	`väl'la
see	see
vedama	`veetti
siis	siss
jälle	jälle
nii	nii
sirgu	`sirgu
kuivatama	kuivattadi
ära	ära
see	see
olema	`ol'li
siis	sis
ee	e
jälle	jälle
nõnda	nõnda
pikk	pikk
pea+aegu	pea+aegu
kui	kui
meie	meil
tee	tee
pealt	pealt
sisse	`sisse
see	se
tee	tee
siia	siija
õu	õvveni
nii	nii
pikk	pikkad
jutt	jut'tid
käima	käisid
kõik	kõik
seda+viisi	seda+visi
siis	siss
maja	maead
olema	`ol'lid
üsna	üsna
kallas	`kalda
peal	päl
seal	säl
kivi	kivide
vahel	vahel
ja	ja
siis	siss
see	see
muru+maa	muru+maa
olema	`ol'li
seda+viisi	sea+visi
täis	täis
lööma	`löödud
ja	ja
iga	iga
mees	mehel
olema	`ol'li
oma	oma
rida	rida
need	neid
püüs	`püise
kuivatamine	kuivattamese
puu	puid
kutsuma	kutsutti
juhet	juhettitteks
ja	ja
võrk	võrk
vedama	`veet'ti
sinna	senna
aru	arude
otsa	`otsa
panema	`pan'tti
seal	sääl
vedama	vedasin
mina	mina
ise+ki	ise+gi
võrk	`võrkku
sirgu	`sirgu
Uulu	Uulu
Moosi+metsa	Moosi+metsa
küla	küla
kutsuma	kutsutti
Moosi+metsa	Moosi+metsa
küla	küla
siin	siin
ja	ja
kui	kui
mina	ma
juba	juba
kuue+teist+aastane	kuuwe+deist+`aastass
saama	sain
siis	siss
mina	ma
minema	läksin
Uulu	Uulu
siis	siis
hakkama	`akkasi
töö	`tööse
ja	ja
seal	sääl
olema	`ol'lin
kolm	kolm
talv	talvet
neli	neli
talv	talvet
ja	ja
viimati	viimatti
neljas	neljandama
talv	talve
minema	läksin
parun	paruniga
proua	prouwaga
riid	`riidu
ja	ja
tema	ta
tahtma	`tahtis
mina	mind
toa+poiss	toa+boisiss
panema	`panna
mina	mina
ei	ei
tahtma	`tahtn
ja	ja
selle+pärast	selle+bärast
et	et
mina	mina
ütlema	`ütlesin
ära	ära
et	et
kui	kui
mina	ma
suur	suuress
saama	saan
et	et
mina	ma
ei	i
mõistma	mõista
muu	muud
töö	tööd
tegema	teha
ja	ja
kus	kuss
mina	ma
siis	siiss
minema	lähen
kartma	`kartsin
see	seda
ja	ja
siis	siss
proua	prouwa
saama	sai
nii	nii
vihane	vihasess
ja	ja
kutsuma	`kutsus
mina	mul
isa	isa
mõis	`mõisa
et	et
poiss	poiss
olema	on
nihuke	`neukke
vastane	vastane
et	et
ei	ei
kuulma	kuule
sõna	sõna
ja	ja
isa	isa
ütlema	`ütles
proua	prouwale
nii+moodi	nii+`moodi
et	et
vat	vat
tema	tema
olema	on
oma+ette	oma+`ette
mees	mees
juba	juba
mina	mina
ei	ei
saama	saa
tema	taal
miski	midagi
tegema	teha
kui	kui
tema	ta
ei	ei
tahtma	taha
ei	ei
tahtma	taha
vägisi	vägisi
mina	mina
sundima	`sun'dida
ei	ei
saama	saa
ja	ja
tulema	`tul'lin
siis	siss
tulema	tulema
sealt	sält
minema	läksime
tüli	`tül'li
jah	jahh
siis	siss
tulema	`tul'lin
ära	ära
kodu	kodu
ja	ja
hakkama	`hakkan
kohe	kohe
hakkama	`akkasin
siis	siss
meri	merd
püüdma	`püidma
ja	ja
ei	ei
käima	käind
enam	änam
mõis	`mõisa
töö	töös
hea	ea
inimene	inimene
aga	aga
proua	prouwa
olema	`ol'li
see	sellega
mina	me
hakkama	`hakkama
ei	ei
saama	saand
ja	ja
siis	siss
mina	mina
mina	mina
võtma	`võt'sin
ise	ennast
sealt	sealt
lahti	`lahti
ja	ja
tulema	`tul'lin
sealt	sält
ära	ära
ja	ja
ja	ja
tema	tema
saatma	`saat'tis
uuesti	uuwesti
mina	minu
järgi	`järgi
teine	teise
sügis	sügise
käsk	käsu
et	ät
tulema	tulgu
mõis	`mõisa
et	ät
no	noo
viina+vabrik	viina+vabrigusse
töö	`tööse
et	et
viin	`viina
ajama	aeama
noh	nohh
sinna	`sinna
minema	läksin
ja	ja
siis	siss
kaks	kaks
talv	talvet
mina	ma
ajama	aeas
see	seda
viin	`viina
seal	sääl
ja	jaa
siis	siss
ö	ö
andma	`an'dis
meie	meile
kah	kaahh
seal	säl
viin	`viina
andma	`an'dis
ja	ja
iga	iga
kuu	kuus
andma	`an'dis
üks	ühe
pool	poole
liiter	`liittert
viin	`viina
meie	`meile
ja	ja
see	sellega
leppima	`leppisin
mina	ma
väga	väga
hästi	`easte
egas	egas
muu	muud
ei	ei
olema	olnd
seal	säl
ka	kaa
aga	aga
see	se
olema	`ol'li
sihuke	`seokke
et	et
mina	mina
ei	ei
väga	väega
palju	paelu
tema	täda
ei	ei
püüdma	`püidn
selle+pärast	selle+bärast
mina	ma
mina	mind
ei	äi
huvitama	uvittand
see	see
ja	ja
inimene	inimene
kes	kiss
tahtma	`tahtis
see	selle
jaoks	jaoss
just+kui	`jusku
siia	`siija
rand	ranna
parras	`pardase
Uulu	`Uulus
olema	`ol'lime
siis	siss
seal	sääl
ei	ei
olema	olnd
aga	aga
kui	kui
meie	ma
siia	siija
rand	ranna
parras	`parda
tulema	`tul'lim
sihuke	`seoksed
vana	vanad
inimene	inimest
need	nee
ikka	ikka
käima	käisid
kõik	kõik
püüdma	`püidmas
no	no
mina	ma
olema	oli
siis	siss
noor	noor
ja	ja
mina	minul
katsuma	`katsusin
ka	kaa
kord	korra
ja	ja
ja	ja
torm	torm
olema	oli
üks	üks
suur	suur
torm	torm
tulema	`tul'li
peale	`peale
ja	ja
lõhkuma	`lõhkus
mina	mool
see	selle
püüs	`püise
ära	ära
ja	ja
mina	mina
tema	teda
enam	änam
uuesti	uuwesti
kaks	kaks
tükk	`tükki
mis	miss
mina	ma
saama	sain
ka	ka
ä	ä
käsi	`kätte
seal	seal
need	neid
see	selle
võrk	võrguga
ja	ja
püss	püs'siga
mina	ma
olema	olen
ka	kaa
kolm	kolm
tükk	`tükki
laskma	`lasnd
maha	maha
ja	ja
rohkem	`rohkem
mina	ma
need	neist
ei	ei
teadma	tea
mitte	`mette
miski	midagi
aga	aga
muidu	muidu
sihuke	`seuksed
vana	vanemad
mees	mehed
püüdma	`püitsid
need	neid
et	ät
mina	mind
ei	ei
huvitama	uvittand
vata	vatta
hüljes	`ül'ged
tulema	tulevad
enamasti	änamasti
kui	kui
juba	juba
kevadel	kevadi
hakkama	`akkab
jää	jää
pehme	`pehmess
minema	minema
siis	siiss
lõhkuma	lõhub
ö	ö
sihuke	`söuksed
lampka	`lampkad
sisse	`sisse
ja	ja
siis	siss
tulema	tulevad
nemad	nad
sinna	`sönna
jää	jää
jää	`jääde
peale	`peale
enne	enne
ja	ja
sügisel	sügise
nemad	nad
olema	on
jää	jää
tulemine	tulemise
ees	ees
nemad	nad
olema	on
tulema	tulevad
siia	`siija
meri	`merre
nüüd	nüid
praegu	`praegu
ei	äi
olema	ole
need	neid
soe	soea
vesi	`veega
aga	aga
aga	aga
siis	siss
sügisel	sügise
nii	nii
septembri+kuu	sept`embri+kuus
oktoobri+kuu	okt`oobri+kuus
juba	juba
siis	siis
olema	on
nemad	nad
siin	sii
meri	meres
käima	käivad
enne	enne
nemad	nad
ei	ei
tulema	tule
ja	jaa
siis	siss
nemad	nad
kui	kui
jää	jää
juba	juba
täitsa	`täitsa
kõvasti	kõvasti
kinni	`kin'ni
olema	on
külmetama	külmettand
siis	siss
minema	lähvad
ära	ära
siia	`siija
tahtma	taha
suur	suure
välja	`väl'la
väin	väena
peale	päle
ja	ja
siis	siss
kui	kui
kevadel	kevadi
jälle	`jälle
jää	jää
pehme	`pehmese
võtma	vöttab
hakkama	`akkab
juba	juba
lagunema	lagunema
ja	ja
laugas	`laukkad
sisse	`sis'se
võtma	`võtma
siis	siss
nemad	nad
tulema	tulevad
jälle	`jälle
aga	aga
kui	kui
jää	jää
olema	on
väga	väga
paks	paks
nemad	nemad
inge	`inge
all	all
ei	ei
saama	saa
olema	`olla
nõnda	nõnda
ummusen	ummusen
ja	ja
kui	kui
sihuke	`söukkene
noor	noor
jää	jää
olema	on
alles	alles
kaks	kaks
kolm	kolm
toll	`tol'li
paks	paks
nii	nii
paks	paks
seda+viisi	seda+visi
siis	siis
nemad	nad
puhuma	puhuvad
e	e
auk	augu
läbi	läbi
ja	ja
käima	käivad
hingama	`ingamas
seal	säl
auk	august
nii+moodi	`nii+modi
viis	viis
kuus	kuus
kuni	kuni
kuus+teist	`kuus+teist
minut	minuttit
rohkem	`rohkem
ei	ei
võima	või
ja	ja
kui	kui
tema	tema
ei	ei
saama	saa
hingama	ingatta
surema	sureb
võrk	`võrkkus
ka	kaa
ära	ära
nii	nii
ütlema	`ütleme
et	et
just+kui	`jusku
siit+maalt	siit+maalt
olema	`ol'li
tema	ta
jää+auk	jää+august
välja	välla
tulema	tulnd
kuni	kuni
see	selle
aed	aijani
sinna	`sinna
no	no
see	see
olema	on
nii	nii
üks	üks
üks	üks
nii	nii
maa	maad
olema	`ol'li
jää	jääst
ja	ja
jää	jää
olema	`ol'li
nii	nii
kangesti	`kangesti
libe	libe
ja	ja
hakkama	`akkas
lääberdama	lääberdama
ei	ei
saama	saand
nii	nii
ruttu	`ruttu
auk	`aukku
kui	kui
mina	mia
saama	sain
enne	enne
auk	augu
ette	`ette
ja	ja
ära	ära
ette	`ette
tema	tal
saama	sai
seda+viisi	seda+visi
kätte	`kätte
ja	ja
juba	juba
laugas	`laukkad
sisse	`sisse
juba	juba
jää	jää
või	või
torm	torm
lõhkuma	lõhub
siis	siis
nemad	nad
olema	oo
kohe	kohe
seal	säl
platsis	`lat'sis
tulema	tulevad
ronima	ronivad
kohe	kohe
sinna	`sinna
jää	jää
äär	äärede
peale	päle
seal	sääl
olema	`ol'li
endine	`en'disel
aeg	aeal
see	sell
aeg	aeal
olema	`ol'li
nii	nii
tohutu	tohuttu
kui	kui
must	must
olema	`ol'li
kohe	kohe
kui	kui
mina	mina
püüdma	`püit'sin
noor	noor
olema	`ol'lin
aga	aga
nüüd	nüid
olema	on
need	neid
pidama	peab
vähem	vähem
olema	olema
nüüd	nüid
enam	änam
need	neid
nii+palju	ni+baelu
ei	ei
olema	ole
enne	enne
olema	`ol'li
need	neid
kole	kole
palju	paelu
no	no
müraja	mürajad
olema	on
üks	ühed
sihuke	`seoksed
suur	suuremad
hulga	ulga
suur	suuremad
ütlema	`ütleme
mina	mia
olema	olen
tema	tema
kere	kere
nägema	näind
küll	küll
torm	torm
ajama	aeas
siia	siija
meie	meije
kallas	`kaldase
üks+kord	ühe+gorra
aga	aga
tõesti	`tõesti
aga	aga
lehm	lehma
suurune	`suurune
nihuke	`neokke
suur	suur
olema	on
aga	aga
muidu	muidu
nemad	nad
harilikult	arilikkult
olema	on
nigu	nigu
lammas	`lamma
suurune	`suurune
või	või
sedasi	sedasi
kasvama	kasvavad
nemad	nemad
olema	on
sihuke	`seuksed
kollane	kollase
ja	ja
hall	al'li
hall	al'lid
kollane	kollase
ja	ja
must	must
mustjas	`mustjas
hall	al'l
sihuke	`seukse
karv	karvaga
ja	ja
kollane	kollased
täpp	täppid
peal	peal
kõik	kõik
kirju	kirju
vöödiline	öödilesed
ja	ja
mõni	mõned
olema	on
sihuke	`seuksed
vöödilised	öödilased
käima	käevad
suur	sured
pikk	pikkad
kriips	riipsud
kõik	kõik
ilus	ilus
karv	karv
olema	on
tema	tal
täitsa	`täitsa
kohe	kohe
endine	`en'disel
aeg	aeal
olema	ol'i
mina	ma
nägema	nägi
kui	kui
mina	mina
sõja+vägi	sõa+väes
veel	veel
olema	`ol'lin
siis	sis
olema	`ol'li
ohvitser	ohvitserittel
olema	`ol'li
sõja+vägi	sõa+väe
ohvitser	ohvitserittel
olema	`ol'lid
sihuke	`seuksed
kasukas	kassukkad
seljas	`sel'gas
mina	mina
mina	ma
mina	mina
olema	pole
need	neid
poeg	`poegi
saama	saand
aga	aga
mina	minu
käli+mees	käli+mes
tema	tema
tooma	tõi
siis	sis
need	neid
ära	ära
palju	paelu
need	neid
siin	siin
aga	aga
kohe	kohe
olema	on
silm	silmad
pidama	`piavad
pea	pias
olema	olema
kui	kui
nemad	nad
sündima	sün'nivad
ja	ja
ka	ka
sihuke	`seuksed
kollakas	kollakkad
hall	al'lid
kollakas	kollakkad
kollakas	kol'lakkas
hall	al'l
või	või
sihuke	`seukke
vähe	vähe
tume	tumeda
hall	al'l
ja	ja
sihuke	`seuksed
karv	karv
olema	on
tema	taal
no	no
ütlema	`ütleme
koera+kutsikas	koera+kut'sikka
suurune	`suurused
koer	koera
poeg	poea
suurune	`suurused
suurune	`suurused
sihuke	`seuksed
pisike	pisiksed
loom	loomad
ju	ju
nemad	nad
põhi	`põhjas
meri	merel
põhi	`põhjas
olema	on
ja	jaa
ja	ja
üks	ühed
krabi	rabid
olema	on
meri	mere
põhi	`põhjas
need	neid
pidama	`peavad
sööma	`sööma
no	no
krabi	rabi
olema	on
nii	nii
kui	kui
nii	nii
suur	suur
ja	ja
mitu+kümmend	mittu+gümmend
jalg	`jalga
all	all
need	neid
sööma	söövad
ja	ja
kala	kalu
kah	kahh
kala	kalu
ja	ja
need	neid
krabi	rabisi
see	see
pidama	peab
nemad	`nende
toit	toit
olema	olema
nooh	noohh
tema	tema
olema	on
ju	ju
meri	mere
põhi	`põhjas
ju	ju
tema	ta
siis	siss
kala	kalad
sealt	sealt
kui	kui
kärmas	kärmass
tema	ta
olema	on
see	seda
see	seda
mina	ma
ei	i
teadma	tia
ju	ju
ka	kaa
ütlema	üttelda
aga	aga
kala	kala
olema	on
muidugi	muidugi
kärmas	kärmas
aga	aga
ju	ju
siis	siss
tema	tema
ikka	ikki
need	neid
kätte	`kätte
saama	saab
et	et
selle+pärast	selle+bärast
olema	on
nemad	nad
ä	ä
tegema	`tehtud
ja	ja
lõikama	lõigattud
nemad	nendel
sisi+kond	sisi+gonnas
olema	on
leidma	`leittud
ö	ö
need	neid
ö	ö
kala	kala
oi	oi
jah	jahh
täiesti	täijesti
hea	ea
kuulmine	`kuulmisega
nemad	nad
kuulma	kuulevad
hästi	`hästi
nii	nii
kui	kui
lind	linnud
aga	aga
kangesti	`kangesti
kartma	kardavad
kui	kui
juhtuma	`juhtub
väike	väikke
olema	`ol'li
jälle	jälle
räim	räim
ja	ja
siis	siss
suur	suurt
kala	kala
ka	kaa
olema	`ol'li
suur	suurt
kala	kala
ka	kaa
olema	`ol'li
siis	siis
aga	aga
räim	`räime
kõige	kõige
rohkem	`rohkem
olema	`ol'li
räim	`räimi
väike	väikkest
kala	kala
räim	räim
räim	`räime
teie	te
teadma	`teatte
ju	ju
ah	ah
millal	millal
püüdma	`püitti
see	see
olema	`ol'li
enne	enne
kolhoos	ka`loosi
kui	ku
kolhoos	ka`l'oosi
veel	veel
ei	ei
olema	olnud
ju	ju
kui	kui
kolhoos	kaloos
hakkama	akkas
siis	siis
minema	läks
kõik	kõik
see	see
kala+püük	kala+büik
või	või
need	nende
räim	räeme
ja	ja
kala+püük	kala+büik
olema	olid
sihuke	sihuksed
mõrra+püüs	mõrra+`büised
olema	`ol'lid
jah	jahh
siis	siis
need	need
hävitama	äävettatti
kõik	kõik
nii	nii
ära	ära
ja	ja
kolhoos	kaloos
siis	siis
asutama	asuttas
oma	omal
ise	isi
suur	suured
püüs	`püised
ja	ja
hakkama	`akkas
need	nendega
püüdma	`püidma
mõrra+püüs	mõrra+`büised
olema	`ol'lid
alati	alatti
meri	meres
panema	`pan'tti
meri	`merre
ja	ja
need	need
seisma	`seisid
siis	siss
meri	meres
püüdma	`püitsid
need	neid
välja	`väl'la
ei	ei
tooma	`toodud
muidu	mud'u
käima	`käitti
vaatama	`vaattamas
kui	kui
räim	`räime
olema	`ol'li
sees	sees
tooma	`toodi
võtma	`võetti
välja	`väl'la
ja	ja
aga	aga
püüs	püis
jääma	jäi
ikka	`ikka
see	selle
koht	koha
peale	pele
kus	kuss
tema	ta
olema	`ol'li
jääma	jäi
ikka	`ikke
püüs	püis
meri	merese
need	ned
olema	olid
nii	nii
kinni	`kin'ni
panema	`panttud
sinna	`sinna
meri	mere
põhi	põeha
külge	`kül'ge
e	e
seuke	`seuksed
suur	suured
pikk	pikkad
vai	vaijad
olema	`ol'lid
puu	puust
vai	vaijad
taguma	tagutti
sisse	`sisse
ja	ja
siis	siss
e	e
tross	tros'sidega
ja	ja
need	nendega
panema	`pan'tti
jälle	jälle
siduma	`siutti
kinni	`kin'ni
mis	miss
sügav	sügav
jah	jahh
noh	nohh
üks	üks
nõnda	nõnda
nüüd	nüid
olema	`ol'li
e	e
sügav	sügavama
peal	päl
ja	ja
madal	madalama
peal	päl
kaks	kahel
pool	`poole
püüdma	`püitti
teine	`teised
nüüd	nüid
nagu	nagu
praegu	`praegu
kevad	kevade
ajal	aeal
siis	siis
esmalt	esmalt
siis	siis
püüdma	`püitti
tema	ta
madal	madalamas
ja	ja
räim	räim
tulema	`tul'li
kallas	`kalda
ligidamale	ligidamale
soe	`soojemat
vesi	vett
otsima	`ot'sima
nooh	noohh
ja	ja
nüüd	nüid
kui	kui
seda+viisi	seda+visi
minema	läks
juba	juba
sügis	sügise
poole	pule
siis	siis
nemad	nemad
minema	läksid
sügav	sügavamase
rohkem	`rohkem
ära	ära
nii	nii
e	e
äär	ääre
koht	koha
peal	päl
ei	ei
olema	olnd
enam	änam
räim	`räime
olema	`ol'li
siis	siis
kõige	kõige
rohkem	`rohkem
kui	kui
räim	räeme
hoo+aeg	oo+aeg
olema	`ol'li
kui	kui
nemad	nemad
ö	ö
siia	`siija
tulema	`tul'lid
nagu	nagu
ütlema	`öeldi
kudenema	kudenema
kudenema	kudenema
tulema	`tul'lid
siia	`siija
kevadel	kevadi
jah	jahh
kevadel	kevadi
jaah	jaahh
nemad	nemad
kudenema	kudenesid
siin	siin
ära	ära
ja	ja
minema	läksid
minema	minema
ja	ja
siis	siss
jääma	jäi
siia	`siija
maha	maha
jälle	jälle
saama	sai
suur	suurt
kala	kala
angerjas	angerjast
ahven	ahvenast
koha+kala	kuha+gala
vot	vot
need	need
olema	`ol'lid
rohkem	`rohkem
vimm	`vimma
ka	kaa
saama	sai
vimm	vimm
olema	`ol'li
ka	kaa
üks	üks
nii	nii
pikk	pikkad
olema	`ol'lid
vimm	vimmad
koha	kuhad
olema	`ol'lid
siis	sis
suur	suured
pikk	pikkemad
kala	kalad
suur	suurem
kala	kala
ja	ja
havi	avi
ka	kaa
olema	`ol'li
ja	ja
vat	vat
need	need
siuke	`seukke
sort	sort
kala	kalu
need+samad	need+sammad
mõrd	mõrrad
olema	`ol'lid
mõrd	mõrradeks
kutsuma	kutsutti
need	nendesse
ka	ka
olema	`ol'lid
aga	aga
võtma	`võt'tis
ka	kaa
nii+sama	nii+samma
jälle	jälle
ä	ä
kinni	`kin'ni
aga	aga
ikka	`ikke
see+sama	selle+sammaga
ö	ö
püüs	`püisega
ka	kaa
ja	ja
veel	veel
peale	`peale
need	nendega
ninas	ninastega
kutsuma	kutsutti
õng	õnged
või	või
ninas	ninased
panema	`pan'tti
räim	räeme
tükk	tükkid
lõikama	lõegatti
kõik	kõik
sööt	sööduss
panema	`pan'tti
otsa	`otsa
ja	ja
siis	siss
laskma	`las'ti
sisse	`sisse
siis	siss
püüdma	`püidis
õng	õng
kaah	kaahh
ja	ja
mõrd	mõrrass
minema	läks
ka	kaa
siis	sis
aga	aga
mõrd	mõrras
minema	läks
ikka	ikka
vähe	vähe
õng	õngedega
see	see
olema	ol'li
siis	siss
ö	ö
rohkem	`rohkem
nagu	nagu
tema	ta
minema	läks
sealt	sealt
ots	otsast
söök	`söökkü
söök	`söökkü
võtma	`võtma
see	se
õng	õnged
niisuke	niisuksed
konks	konksud
olema	`ol'lid
kutsuma	kutsutti
õng	õnged
olema	`ol'li
küll	küll
tulema	`tul'li
torm	torm
peale	`peale
ja	ja
eks	eks
siis	siis
olema	`ol'li
küll	küll
tegemine	tegemist
küll	küll
tegemine	tegemist
olema	`ol'li
siis	siss
see	sellest
ei	ei
olema	ole
keegi	kedagi
need	need
olema	`ol'lid
mutt	mut'tid
need	need
olema	`ol'lid
siis	sis
vähem	vähemad
püüs	`püised
no	noo
üks	üks
umbes	`umbus
nõnda	nõnda
lai	laijad
kõrgus	`kõrgus
olema	`ol'li
aga	aga
siis	s
nemad	nad
olema	`ol'lid
pikk	pikkad
jälle	`jälle
pikk	pikkad
olema	`ol'lid
kolm	kolm
neli	neli
süld	`sülda
mutt	mut'tid
mutt	mut'tid
mutt	mut'tid
olema	`ol'lid
jah	jahh
küll	küll
ka	kaa
jah	jahh
ja	ja
võrk	võrgud
ka	kaa
olema	`ol'lid
vat	vat
nüüd	nüid
tulema	tuleb
meel	`meele
võrk	võrgud
ka	ka
olema	`ol'lid
võrk	võrgudega
püüdma	`püitsid
ka	kaa
mõni	mõned
kes	kellel
mõrd	mõrra
püüs	püist
ei	ei
olema	oln
ei	ei
võrk	`võrkkud
all	all
ei	ei
saama	saanud
võrk	`võrkku
püüdma	`püitti
paat	paadidega
e	e
laskma	`las'ti
sisse	`sisse
ja	ja
nõnda	nõnda
mõrd	mõrrad
ka	kaa
jää	jää
alla	`alla
ei	ei
saama	saand
muu	muud
tegema	teha
kui	kui
mutt	`mut'ta
talv	talvel
saama	sai
jää	jää
alla	`alla
ajama	aeada
ja	ja
ka	ka
suvel	sui
paat	paadiga
püüdma	püida
lahti	`lahti
vesi	vees
jah	jahh
jää	jää
sisse	`sisse
raiuma	raijut'ti
auk	augud
no	no
see	see
olema	`ol'li
kutsuma	kutsut'ti
nii+sugune	nii+sugune
kutsuma	kutsut'ti
siin	siin
ö	ö
tuur	tuur
meri	mere
tuur	tuur
kutsuma	kutsut'ti
noh	nohh
üks	üks
nii	nii
kõrgele	`kõrgele
ja	ja
kangesti	`kangesti
terav	terav
ots	ots
olema	`ol'li
ja	ja
ja	ja
kas	kass
tema	ta
olema	`ol'li
naa	naahh
see	selle
jämus	jämus
jaah	jaahh
ütlema	`ütleme
siis	siss
nii	nii
pikk	pikk
ka	kaa
nagu	nagu
siit	siit
sinna	`senna
alla	`alla
ja	ja
puu+pea	puu+pia
olema	`ol'li
taga	taga
ja	ja
võtma	`võt'sid
see	sellest
kinni	`kin'ni
sedasi	sedasi
raiuma	`raijust
jää	`jäässe
auk	augu
sisse	`sisse
ei	ei
noh	nohh
mis	miss
seal	sääl
ajama	aeada
olema	`ol'li
esiteks	esitteks
ajama	`aet'ti
raiuma	raijutti
auk	augud
sisse	`sisse
ajama	`aet'ti
suur	suur
pikk	pikk
udi	ud'i
olema	`ol'li
see	sellega
ajama	`aet'ti
nöör	nöör
e	e
