mh	mh
võtma	`võettakse
kast	kas't
üles	üless
lappama	lappattaks
läbi	läbi
ja	ja
vaatama	vaadettakse
räim	räemed
sees	sehe
olema	on
tõstma	tõstettasse
välja	`väl'ja
ja	ja
laskma	`lastasse
tagasi	tagasi
sisse	`sisse
ja	ja
püüdma	püijab
jälle	`jälle
minema	läheb
küll	küll
ikka	ikke
kah	kahh
e	e
see	sel
aed	aijad
ajama	aeab
täis	täis
aga	aga
e	e
sinna	`senna
kast	kas'ti
sisse	`sisse
sinna	`senna
väga	väga
palju	paelu
ei	ei
minema	lähe
aga	aga
ikka	ikke
vähe	vähe
minema	läheb
aga	aga
aed	aijad
olema	on
vahel	vahel
siis	s
nõnda	nõnda
täis	täis
kui	kui
üks	üks
e	e
limps	limpsu
hunnik	un'nik
lamu	lamu
meri	mere
muda	muda
täis	täis
kh	kh
kh	kh
jah	jaah
meie	meil
enne	enne
olema	ol'lid
seal	säl
Treimani	`Treimanis
või	või
olema	ol'li
e	e
sees	sehe
seal	säll
ja	ja
seal	sääl
olema	ol'li
igavene	igavene
vali	vali
kõva	kõva
põhi	põhja
või	või
meri	mere
olema	oo
ja	ja
suur	suure
meri	mere
rind	`rindas
rohkem	`rohkem
ja	ja
seal	sääl
viima	viid
õhta	`õhta
sisse	`sisse
minema	lähed
teine	teese
päev	päva
vaatama	`vaattama
juba	juba
see	se
segamini	segamini
jälle	`jälle
lõhkuma	`lõhkund
saama	sai
mitu	mittu
kord	`korda
seda+viisi	seda+visi
ühtes	`ühtes
lõhkuma	`lõhkus
ära	ära
ja	ja
siin	sii
vahel	vahel
olema	ol'lid
teine	teist
aasta	`aasta
või	või
kolmas	kolmat
juba	juba
need	nee
ankur	`ankru
liin	liinid
ja	ja
kõik	kõik
juba	juba
mäda	mädad
olema	on
siis	s
lõhkuma	lõhub
ära	ära
seal	sääl
olema	onn
iga	iga
kakuam	kakkul
olema	onn
e	e
mitu	mittu
ootama	ootta
mitu	mittu
ankur	ankkurt
see	see
olema	onn
neli	neli
kaks	kaks
aed	aijal
olema	oo
olema	on
kaks+kümmend+viis	kaks+kümmend+viis
neli+kümmend	neli+gümmend
ankur	`ankrut
olema	on
iga	iga
kakuam	kakku
jaoks	jaoks
sees	sehe
