jaah	jaahh
nüüd	nüid
see	seda
jälle	`jälle
see	see
olema	oli
ju	ju
vaatama	vaada
need	nee
Vana+õue	Vana+öuwe
põld	pöllud
mina	maa
kinnitama	kinnittasi
ise	ännast
see	selle
see	selle
koht	koha
pärija	pärijaks
vaatama	vada
selle+pärast	selle+bärast
et	et
nüüd	nüid
mets	metsad
raiuma	raijuttasse
ära	ää
puu+tonk	puu+`tonkki
ei	p
saama	saa
sina	sa
kuskilt	`kussest
aga	aga
seal	sääl
katus	kaduste
all	all
puu	puud
kuiv	kuivad
siis	siss
meie	mee
saama	`saame
vana	vanas
iga	eas
veel	veel
soe	soea
tuba	toa
selle+pärast	selle+bärast
ning	ning
noo	noo
need	nee
Vana+õue	Vana+öuwe
Viia	Viija
põld	pöllu
peenar	`peendrad
ning	ning
see	selles
ning	ning
see	see
olema	oli
ikka	`ikka
kust	koest
inimene	inimene
minev+aasta	minev+`aasta
niitma	`niittand
olema	onn
esi+mees	esi+mes
olema	oli
ütlema	`itlend
see	`se
aasta	aste
niitma	`niitvad
ka	kaa
ning	ning
Osvald	`Osvalt
tulema	tuli
Salme	`Salmelt
ära	ää
ning	ning
niitma	`niittas
see	see
peenar	`peendra
siis	siiss
sealt	säält
ära	ää
nurk	`nurkka
õhtul	`öhta
kinni	`kinni
ka	kaa
jälle	`jälle
ning	ning
siis	siis
jälle	`jälle
see	see
va	va
Kopli	`Kopli
Jaan	Jaen
olema	oli
see	see
olema	oli
jälle	`jälle
siis	siis
siuke	sihand
ulakas	ulakkas
hakkama	`akkas
mõni	mönes
koht	kohas
üle+annetu	ül+anttud
jah	jahh
noh	nohh
ning	ning
siis	siis
raiuma	raijutti
puu+halg	puu+alg
terav	teravaks
nõnda	nöndat
noa+tera	noa+tera
esiti	esitti
panema	`pandi
jälle	`jälle
hernes	erneste
peale	pääle
siis	siis
Jaan	Jaen
ütlema	`itles
ääh	äähh
täna	täna
mina	ma
ajama	aisi
kolm	kolmed
püksid	püksid
jalg	`jalga
täna	täna
olema	pole
miski	midad
häda	äda
panema	panga
peale	`pääle
hernes	erneste
peale	`pääle
mina	mind
põlvili	pölili
pagan	pagan
olema	oli
kuulama	`kuuland
koda	koeas
siis	siis
