oma	oma
muna	muna
kägu	kägu
olema	olevat
seande	seantte
ja	ja
teine	tõine
pidama	piab
välja	`väil'lä
hauduma	`audma
mina	mina
olema	ole
ju	ju
Suistle	`Suistle
keel	keeli
kasvama	`kasvand
ja	ja
Tarvastu	Tarvastu
keel	keeli
olema	ole
nüüd	nüüd
rohkem	`rohkemb
aeg	`aiga
elama	eländ
see	see
minema	lääp
ju	ju
segamini	segämine
puha	puha
ja	ja
need	neil
olema	om
iga+üks	igäl+üttel
oma	uma
mood	muud
ju	ju
Suistle	`Suistle
ütlema	`ütlep
et	et
mina	mina
ei	ei
teadma	tiijä
aga	aga
Tarvastu	Tarvastu
ütlema	`ütlep
mina	mina
ei	ei
teadma	tää
ikka	ikki
mõni	mõni
mõni	mõni
sõna	sõna
olema	om
ikka	ikki
ja	ja
tulema	tuleb
ja	ja
meie	meil
olema	oli
tulema	tule
ikka	ikki
sääne	`seantsit
sõna	sõnu
olema	olli
väga	vägä
palju	pal'lu
mis	mis
vahe	vahet
olema	om
jaa	jaa
ja	ja
üks	ütte
kihelkond	kihelgonna
inimene	inimese
aga	aga
teine	tõesen
vald	vallan
teine	tõene
kään	kään
tulema	tulep
jah	jahh
aga	aga
Suistle	`Suistlen
olema	om
mina	mina
tulema	tule
mina	ma
tulema	tule
sinna	`sinna
või	või
tema	temä
tulema	tule
hakkama	akkame
see	sellest
ikka	ikke
peale	`pääle
kus	kus
meie	me
eile	eilä
hakkama	akkassime
kui	ku
mina	ma
järv	järve
veeres	veeren
noot	`nuutta
vedama	vedäsi
ja	ja
siis	sõss
mina	mull
minema	lähe
nõnda	nõnda
nagu	nagu
suur	suurembass
järjest	järest
see	sii
asi	asi
jah	jaahh
noh	nohh
mina	miu
isa	esä
elama	*elli
meie	me
elama	`ellime
järv	järve
veer	veere
peal	pääl
ja	ja
tegema	tegime
noot	`nuotta
üle	üle
kaks	kahe
talu	talu
olema	olli
see	se
noot	nuut
ja	ja
siis	sõss
kumbki	`kumbagil
pidama	pidi
ikka	ikki
kolm	kolm
inimene	inimest
iga	egä
kord	kõrd
olema	olema
seal	säl
kui	ku
minema	`mintti
et	t
kala	kala
püüdma	`püündmä
no	no
siis	sõss
mina	mina
ka	ka
käima	käisi
ikka	ikki
kui	ku
häda	äda
asi	asi
olema	ol'li
ja	ja
ehk	ehk
mina	ma
küll	küll
tüdruku+kene	tüdrukkukke
olema	ol'li
rohkem	`rohkemb
aga	aga
kes	kes
see	sii
hoidma	`oida
saama	saab
siis	sis
kui	ku
vaja	vaja
olema	omm
ja	ja
meie	meil
olema	olli
see	sii
suur	suurembe
kala	kala
noot	nuut
ja	ja
olema	oli
kevad	keväde
aga	aga
ega	ega
suvi	suvvel
enam	enämb
ei	es
püüdma	püünä
suvi	suvvel
tulema	tulli
sügis	sügüse
poolt	puuld
tulema	tulliv
siis	sõss
võõras	`võõra
püüdja	püündjä
sinna	sinna
kiisk	`kiissu
püüdma	püündmä
ega	ega
siis	siss
enam	enämb
meie	mee
ei	es
puutuma	puttu
meie	mee
püüdma	`püüntsime
ise	esi
oma	omale
ega	ega
meie	mee
teine	tõestel
es	ess
es	ess
mõni	mõni
ostja	`ot'sja
käima	käis
ka	ka
seal	seal
nüüd	nüid
aga	aga
noh	nohh
siis	sõss
see	sellega
olema	olli
nõnda+sama	nend+sama
mina	maa
olema	olli
siis	sõss
kaheksa+teist	kahessa+dõist
aastane	`aastane
juba	joba
kui	ku
mina	ma
leer	`leeri
minema	lätsi
no	no
peale	`pääle
see	selle
siis	siss
siis	sõss
olema	oli
juba	juba
varsti	`varsti
jälle	jälle
muu	muu
asi	asi
mees	mehele
minek	minek
jaa	jaa
kaheksa+teist	kahessa+dõist
aastane	`aastane
olema	olli
kui	ku
mina	ma
leer	`leeri
minema	lätsi
ja	ja
siis	sõss
olema	olli
kirik	kirikku
põlemine	põlemine
kolm	kolm
nädal	nädalit
käima	käesime
meie	me
leeri+laps	leeri+lapset
seal	sääl
ja	ja
siis	sõs
keskmine	`keskmise
nädal	nädäli
kolma+päev	kolma+päeval
olema	olli
kirik	kirik
pikne	pikken
lööma	lei
kirik	kirikku
põlema	põleme
mina	mina
käima	käesi
küla	külän
see	si
olema	olli
keiser	`keisre
keiser	`keisre
proua	prouwa
keiser	`keisre
poeg	poja
sünni+päev	sünni+bäe
olema	oli
ja	ja
siis	siss
mina	ma
küsima	küsisi
õhtu	`õhtu
köster	`köstre
käest	käest
et	et
mina	maa
minema	län
küla	`külla
ja	ja
et	t
seni	seni
kui	kui
tund	tunni
tulema	tuleve
siis	ss
mina	ma
olema	olen
tagasi	tagasi
sinna	senna
see	sellest
Pärsi	Pärssi
Pärsi	Pärsist
mööda	`müüda
sinna	senna
üles	üless
Juraku	Jurakkule
sinna	senna
mets	mõtsa
taade	`taade
mina	mull
olema	olli
onu	onu
seal	sääl
ja	ja
tädi	tädi
ka	kaa
mõlemad	mõleme
onu	onu
ja	ja
tädi	tädi
meie	meil
olema	oli
isa	esä
olema	oli
nõnda+viisi	nõnda+viisi
vahetama	vahetten
isa	esä
ja	ja
vend	vend
minema	läits
sinna	senna
pere+mees	pere+mehess
ja	ja
õde	õde
tooma	`tuudi
teine	tõesel
koht	kohal
ja	ja
see	sell
aeg	aal
olema	olli
see	see
seadus	`säädus
et	et
kes	kess
pere+mees	pere+miiss
olema	olli
see	seda
soldat	soldattiss
es	ess
viima	viijä
siis	sõss
mina	miu
isa	esäl
olema	olli
viis	viis
vend	`venda
aga	aga
kõik	kik
seadma	`säädsive
ise	`endid
talu	talude
peale	pääle
ära	ärä
nõnda+viisi	nenda+viisi
lesk	`leski
naine	`naisi
võtma	`võtsive
ja	ja
mis	miss
kunnigi	`kunnigi
olema	olli
ikka	ikki
seda+moodi	sedä+`muudi
et	et
nemad	nemä
siis	siss
soldat	soldattiss
es	ess
minema	lähä
ainult	ainult
kõige	kige
noor	noorembe
aeg	ajal
siis	siss
tulema	tulli
muudatus	muudattus
ja	ja
siis	sõss
viis	viis
aasta	`aastet
aga	aga
enne	enne
enne	enne
mis	mis
enne	enne
see	sedä
need	ne
olema	olli
kõik	kikk
kaks+kümmend+viis	kaks+kümnd+viis
aasta	`aastet
siis	sõss
muutma	muudetti
viis	viije
aasta	`aaste
peale	pääle
ja	ja
siis	sõss
võtma	`võetti
aga	aga
see	sii
minema	läits
küll	küll
siis	sõss
soldat	soldattiss
see	sii
kõige	kige
noor	noorem
vend	vend
see	sii
olema	olli
Tartu+maa	`Tarttu+maal
pere+mees	pere+miiss
küll	küll
seal	sääl
lesk	lesel
lesk+naine	lese+naese
peale	pääl
võtma	võt't
talu	talu
aga	aga
es	ss
aitama	`aitta
miski	midägi
ja	ja
kui	ku
mina	ma
küla	küläst
tulema	tulli
siis	sõs
see	sii
hirmus	irmus
vihm	vihma
hoog	huug
tulema	tulli
ja	ja
siis	sõss
mina	ma
minema	lätsi
sinna	senna
see	selle
Pärsi	Pärsi
manu	manu
varju	`varju
kus	kus
teie	te
nüüd	nüüd
käima	käeside
ja	ja
mina	mina
olema	olli
seal	sääl
varjus	varjun
seni	seni
kui	ku
see	sii
kange	`kange
vihm	vihm
ära	ärä
sadama	sadass
tulema	tulli
välja	`väl'lä
sealt	sääld
