pahem+pidi	pahem+bidi
mis	mis
et	t
noh	noh
see	see
olema	old
see	see
olema	oli
olema	oli
selis	võrgu+selis
võrk	vörgu
selis	selis
olema	oli
jah	jah
selis	võrgu+selis
kutsuma	kutsutti
jah	jahh
see	seda
see	seda
kuduma	kudus
iga+üks	ega+üks
kes	kiss
kes	`killel
aeg	`aega
olema	oli
kes	kess
oskama	`oskas
see	see
olema	oli
enam	änam
olema	oli
ikka	`ikke
rohkem	`rohkem
mees	`meeste
töö	töö
olema	oln
noh	nohh
kes	kel
suur	suured
pere	pered
mitu	müttu
kaks	kaks
kolm	kolm
mees	meest
olema	oll
ikka	`ikka
maja	maeas
ja	ja
kuduma	kudust
õhtul	`öhta
tuli	tule
tuli	tule
valgel	`valgel
see	see
see	see
looma	`loodi
eks	eks
teine	teine
teine	teine
esimene	esimene
ei	äi
teine	teine
võrk	vörgu
tükk	tükk
olema	oll
ennem	ännäm
siis	siss
hakkama	akkat
sinna	`senne
külge	`külge
hakkama	akkadi
kuduma	kuduma
ja	ja
siis	siss
taga	taga
lõikama	leigadi
sealt	sält
ots	otsast
jälle	`jälle
ära	ära
kui	kui
juba	juba
nii	nii
palju	`palju
olema	oli
kuduma	kujut
et	et
saama	sai
juba	juba
ümber	`ümber
hark	hargi
keerama	keerd
mõõt	`mööttu
mees	mehed
mõõtma	`möötsid
oma	oma
süld	`süldadega
seda+moodi	seda+modi
mõõtma	`möötsid
sedasi	sedas
süld	süllaga
kui	kui
jälle	`jälle
valmis	`valmis
kuduma	kujuttakse
peale	`päale
see	seda
pidama	pidi
mitu	müttu
mitu+kümmend	müttu+kümmend
süld	`sülda
pikk	pikk
olema	olema
need	need
siduma	`siutti
siis	siiss
need	nende
sama	sama
nöör	`nööridega
sinna	senna
ain	aina
ain	aina
nöör	`nööridega
või	vöi
siduma	`siutti
kokku	`kokku
panema	`pandi
ei	äi
olema	ole
need	nee
olema	oln
nii+moodi	nii+`moodi
saama	sai
ilusti	ilusti
rulli	`rulli
keerama	`keerdut
olema	oldud
et	et
et	et
nemad	neil
segamini	segamisti
ei	äi
olema	ole
minema	läind
kokku	kokku
kokku	kokku
panema	pandut
see	see
panema	`pandi
ilusti	ilusti
paat	paadi
pars	partte
jah	jah
kui	kui
sina	sa
sõudma	`sõutsid
siis	sis
jooksma	`jooksis
siin	sii
olema	`olli
siis	s
nii	nii
üks	üks
üks	üks
nii	nii
nii	nii
pikk	pikk
kolm	kolme
kolm	kolm
jalg	`jalga
olema	`olli
all	all
tema	tall
selline	sääne
haraline	haralik
puu	puu
olema	`olli
ja	ja
seal	sääl
olema	oli
suur	suur
raud	raud
käima	käis
pealt	päält
läbi	läbi
kus	kuss
vahele	vahele
piirg	piirg
panema	`pandi
ja	ja
see	see
olema	`olli
siis	sis
tuba	tuas
püsti	`püsti
ja	ja
nii	nii
kuiv	kuivad
rehe+tuba	rehe+tuad
veel	veel
olema	olid
ja	ja
näh	nähh
kes	kes
see	seda
küsima	küsib
et	et
see	see
suitsema	suitseb
suitsema	`suitses
suits	suits
laskma	`lasti
jälle	`jälle
uks	uksest
välja	`välja
ja	ja
seal	sääl
jälle	`jälle
nagu	nagu
rehe+tuba	rehe+tubades
olema	oli
seal	sääl
olema	oll
see	se
suur	suur
olema	oli
seal	sääl
nii	nii
see	se
suur	suur
paas	pae
pae+põrand	pae+parand
või	vöi
kivi	kivi
olema	oll
seal	sääl
peal	peal
sinna	`senna
peale	`pääle
siis	siis
kukkuma	`kukkust
need	ned
süsi	sööd
kes	kess
kes	kess
kes	kess
seal	säl
juures	juures
töö	tööd
tegema	tegi
see	see
vahetama	vahettas
ka	kaa
seal	säl
kase+puu	kase+puust
tegema	tehedi
pikk	pitkad
pikk	pitkad
meeter	`meedri
pikkune	pikkust
lahke	`lahke
puu	puust
halg	halud
valima	validi
ja	ja
rehe+tuba	rehe+tuas
pars	partte
peal	pääl
kuivatama	kuivadadi
ära	ära
kui	kui
rehi	rehesid
kütma	küttedi
ja	ja
ahi	ahju
seal	sääl
minema	läks
nii	nii
kuiv	kuivaks
ja	ja
suur	sured
pikk	pitkad
piirg	piirud
lööma	`löödi
õhtu	`öhta
see	see
hunnik	unik
juba	juba
või	vöi
juba	juba
peksma	peksedi
valmis	`valmis
halg	`halgudest
ja	ja
ja	ja
õhtu	`öhta
põletama	pöletse
noh	nohh
mina	mina
ega	äga
need	neid
suur	`suuri
suurem	suuremaid
lagi	lae
lamp	`lamppisi
need	neid
olema	oll
üsna	üsna
mina	mena
mina	mena
ikka	`ikka
mäletama	mälettan
kui	kui
meie	`meile
lagi	lae
lamp	lamp
tooma	`toodi
aga	aga
ennemalt	ennemalt
olema	olid
et	et
nisukesed	nisuksed
väike	`väiksed
olema	olid
et	et
üks+ainus	üks+ainus
väike	`väikke
alune	alune
olema	oli
ja	ja
nagu	nagu
sääsk	sääse
silm	`silmi
ikka	`ikka
olema	oli
tuli	tuli
olema	oli
seal	sääl
nii	nii
väike	`väiksed
olema	olid
näh	näh
siis	siss
olema	pole
olema	old
petrool	`pedrooli
olema	pole
ka	ka
saama	`saada
olema	oln
see	sell
aeg	aeal
veel	veel
ja	ja
pime	pimes
saama	sai
ikka	`ikke
pime	pimes
saama	sai
käima	`käidud
jah	jahh
no	no
vanasti	vanast
tegema	tähedi
siis	siss
tapma	tappedi
härg	härg
või	vöi
lehm	lehm
või	vöi
kodu	kodu
ära	ära
ja	ja
siis	siss
see	sälle
loom	looma
rasv	rasvast
tegema	tähedi
jälle	`jälle
küünal	`küinlad
no	no
siis	siss
olema	olid
latern	latternad
olema	olid
ka	kaa
ja	ja
siis	siss
saama	sai
see	see
küünal	küinal
panema	`pandi
jälle	`jälle
latern	latterna
sisse	`sesse
ja	ja
nii+moodi	nii+`moodi
kui	kui
sedasi	`seasi
pime	pimesse
et	et
tarvis	tarvis
olema	oli
pime	pimes
käima	`käija
seal	sääl
laut	lauda
juures	jures
see	see
rasv	rasv
sulatama	sulattad
ära	ära
pada	paea
pada	paea
ehk	ähk
ütlema	ittelda
katel	`katla
katel	`katla
sees	sees
ja	ja
siis	siss
sealt	säält
üks	üks
üks	üks
üks	üks
nii	nii
pikk	pikk
puk	puk
putk	putk
olema	on
seda+moodi	seda+modi
puu	puust
olema	ol
tegema	`tehtut
see	senn
ennem	ennem
veel	veel
keerama	`keerdi
ee	ee
puu	puu
puu+vill	puu+villa
lõng	löngast
keerama	`keerdi
need	need
need	need
olema	on
süda	südamed
nii	nii
