juhtuma	`juhtund
teine+kord	teine+gord
olema	on
puu	puud
ka	ka
halb	alvad
et	et
ei	ei
hakkama+ki	`akkagi
hästi	`äs´ti
põlema	põlema
ja	ja
kui	kui
olema	on
hea	iä
puu	puu
minema	lähäb
ruttu	`ruttu
soe	soojass
a	a
vihm	`vihma
vili	vi´li
noh	nohh
siis	sis
olema	ol´li
imbima	`immind
siis	sis
olema	on
siuke	siukke
nätske	`lätske
et	et
ei	ei
saama+ki	`saantki
sealt	sält
keegi	kedägi
tegema	`tehti
küll	küll
aga	aga
tema	ta
olema	ol´li
just+kui	`üsku
magus	magus
noh	nohh
jah	jahh
tema	tal
ei	eij
olema	olnd
ju	ju
miski	midägi
hea	iäd
maitse	maetset
ja	ja
ei	ei
kannatama+ki	kannattantki
ei	i
teine+kord	teene+gord
kohe	kohe
keegi	kedägi
ahi	`ahju
panema	`panna
tema	ta
olema	ol´li
nii	nii
pude	pude
ja	ja
kui	kui
sina+ki	sagi
ahi	`ahju
saama	said
aga	aga
välja	`väl´lä
võtma	võttad
kõik	kõik
langema	`langeb
ühest	öhest
ära	ää
kõik	kõik
siuke	siukke
sama	samma
nii	nii
pehme	`pehme
kuidas	kuidas
ah	ahh
nõu	nõu
noh	nohh
leiva+anum	leiva+anum
meie	meil
olema	ol´li
anum	anum
aga	aga
Tänas+silma	Tännäs+sil´mäs
olema	ol´li
mõhk	mõhk
kolm	kolme
jalg	jalaga
jaah	jaahh
ja	ja
ja	ja
siis	sis
noh	nohh
kaas	kaas´
peal	piäl
ja	ja
aga	aga
siis	sis
kõrgel	`kõrgel
nii	nii
kõrge	`kõrged
jalg	jalad
olema	ol´lid
nii	niij
et	et
siia	(siija
paras	paras
kastma	`kasta
jah	jahh
noh	nohh
eks	eks
siis	siis
viima	`viidi
jälle	`jälle
kuskile	`kus´kille
ikka	`ikke
rehe+tuba	rehe+`duppa
või	või
ära	ärä
sealt	siält
jälle	`jälle
siis	ss
kui	ku
ikka	ik
leiva+tegu	leeva+degu
tooma	`tuudi
tuli	`tul´li
tooma	`tuudi
jälle	`jälle
eks	eks
ikka	`ikki
maja	maea
õõ	õõ
maja	maea
kuidas	kudass
endine	endist
maja	maead
olema	`ol´lid
palk	`pal´kkidest
tegema	`tehtud
ja	ja
suitsu+maja	suetsu+maea
ja	ja
ja	ja
rehe+tuba	rehe+duas
ikka	`ikki
elama	elatti
ja	ja
ja	ja
kuduma	`kuut´ti
ikka	ikki
kangas	kangast
rehe+tuba	rehe+tuas
jah	jahh
mis	miss
noh	nohh
telg	tel´led
ikka	`ikki
endine	`en´dist
telg	tel´led
noh	nohh
kas	kas
teie	te
keegi	`kiigi
olema	põle
nägema	näind
aga	aga
kui	ku
tema	ta
telg	`telge
peal	piäl
noh	nohh
ajama	`aet´ti
noh	nohh
eks	eks
jälle	`jälle
ikka	`ikki
seal	säl
tema	tedä
sealt	siält
tagant	tagalt
veeretama	veerettadi
ümber	`ümmer
see	seda
pulk	`pulkkadega
ajama	`aet´ti
ümber	`ümmer
see	sedä
tagumine	tagumest
pakk	`pakku
ja	ja
ja	ja
üks	üks
hoidma	`oidis
eest	iist
kinni	`kin´ni
jah	jah
siis	sis
muud+kui	mut+ku
minema	läks
pakk	pakku
peale	`piäle
ja	ja
sealt	siält
hakkama	akkas
tulema	tulema
siis	siss
õ	õ
kudumine	kudumese
aeg	aeg
noh	nohh
jumalake	jumalakke
rehe+tuba	rehe+dua
ahi	ahi
mis	mis
seal	seal
olema	ol´li
laduma	`laottud
kivi	kividest
üles	üless
ja	ja
päris	peris
maa+kivi	maa+kividest
savi	saviga
tegema	`tehtud
ja	ja
keris	keress
keris	keress
olema	ol´li
siis	siis
kumm	kumm
olema	ol´li
üleval	üleval
sealt	siält
keris	keress
olema	`ol´li
siis	siis
noh	nohh
seal	siäl
kolle	`koldes
jah	jahh
no	no
kolle	kolle
olema	ol´li
seal	siäl
ahju+suu	ahju+suu
ees	iis
noh	nohh
kivi	kivi
ikka	ikki
ette	`ette
olema	ol´li
jälle	`jälle
tegema	`tehtud
siuke	siukke
ikka	`ikke
kivi	kivist
jälle	`jälle
sinna	`senna
ja	ja
ikka	`ikki
kus	kuss
tõmbama	tõmmatti
ahi	ahjust
tuhk	tuhk
ja	ja
kõik	kõik
sisse	`sisse
sinna	`senna
ega	egä
siis	sis
muidu	mud´u
noh	nohh
mis	miss
seal	seäl
ikka	`ikki
olema	`ol´li
eks	eks
seal	siäl
olema	olnd
pars	parred
olema	ol´lid
üleval	üleval
kus	kus
panema	`pan´tti
vili	vil´i
kuivama	`kuivma
ja	ja
mis	miss
seal	siäl
siis	s
ikka	`ikke
muu	muud
mis	miss
aken	akken
enne	`enne
olema	`ol´li
siuke	`siukke
neli+nurkne	`nel´lä+`nurkne
tilluke	til´likke
olema	põlnd
ju	ju
kuigi	`kuigi
suureke	suurekke
aga	aga
ära	ärä
tegema	`tehti
kõik	kõik
töö	tüüd
puha	puha
mina	mea
teadma	tiän
