trampima	`tramppist
karp	karbi
mõtlema	`mötle
tegema	tee
lööma	löön
auk	augu
sisse	`sisse
maksma	`maksin
kolm+kümmend+kuus	kolm+kümmend+kuus
kopikas	koppigat
lööma	löön
auk	augu
sisse	`sisse
kui	kui
panema	pani
purtsti	`purtsti
auk	`aukkust
välja	`välja
parr	parr
parr	parr
parr	parr
parr	parr
käärima	keerib
noh	`nohh
aga	aga
minema	mine
sööma	söö
tema	teda
nüüd	nüid
jah	jahh
loom	looma
sool	sooled
võtma	vötta
puha	puhas
ära	ära
loom	loomal
olema	olid
hea	ead
sool	sooled
ja	ja
ilusti	ilusti
valge	`valgeks
minema	läksid
nõnda	nönda
et	et
võtma	vötta
kord	kord
ära	ära
seest	`seest
ja	ja
see	selle
pärast	pärast
et	et
loom	loom
siga	sea
söömine	`söömine
olema	onn
veidi	vei
vesine	vesine
aga	aga
loom	loomal
olema	onn
nüüd	nüid
ikka	ikka
teine	teist
moodi	`moodi
asi	asi
sool	`soolde
sees	sees
ei	`äij
olema	ole
selline	söun
vesine	vesine
end	end
loom	`loomede
sool	soolest
saama	sai
palju	`palju
kerge	`kergem
asi	`asja
jah	jahh
vahest	vahest
saama	sai
tegema	tehtud
ka	kaa
teine	teise
kord	korra
saama	sai
ära	ee
ka	kaa
viskama	visettud
e	e
kui	kui
liha	liha
käes	käe
küll	küll
olema	oli
siis	siss
olema	pole
see	sest
sool	soolest
ka	ka
suur	suurd
lugu	lugu
pidama	peedut
nägema	nää
lammas	`lambal
olema	pole
muu	muud
asi	`asja
kui	kui
magu	magu
magu	magu
ja	ja
siis	siis
tanu	tanu
kaks	kaks
asi	`asja
olema	oli
ja	ja
kes	kes
see	selle
sada	saea
kordne	`kortsega
see	senne
sitt	sittaga
mängima	`mängima
hakkama	`akkas
see	see
nii	nii
hirmus	ermus
töö	töö
et	ett
et	ett
et	et
hirmus	ermus
see	see
tulema	tull
kes	kes
see	senne
saama	sai
puhas	`puhtaks
küll	küll
aga	aga
see	see
olema	pole
maksma	`maksnud
see	seda
vaev	`vaeva
ära	ää
olema	olnd
parem	param
ilma	`ilma
tanu	tanu
olema	onn
üks	üks
pisike	pisi
magu	mao
ees	ees
olema	onn
üks	üks
pisikene	pisigene
nagu	nagu
rusikas	rusik
see	see
see	`see
olema	oli
tanu	tanu
kolm	kolm
asi	`asja
olema	`on
ja	ja
ei	äi
need	need
pisike	pisist
peen	`peened
sool	sooled
ei	äi
need	neid
lammas	`lambal
olema	pole
keegi	kedad
võtma	`vötnud
ega	eiga
panema	pand
need	nee
viskama	visedi
kõik	keik
saun	`sauna
ja	ja
vasikas	vasiguttel
ja	ja
ei	äi
need	neid
olema	pole
keegi	kedad
võtma	`vötnud
ei	äi
ei	äi
jah	jahh
olema	onn
loom	loomal
olema	onn
ka	ka
tanu	tanu
ees	ees
kolm	kolm
kolm	kolm
asi	`asja
olema	onn
sada	saea
kordne	`kordne
ja	ja
tanu	tanu
eel	eel
ehk	ehk
ees	ees
magu	magu
ja	ja
ja	ja
suur	suur
magu	magu
see	`see
olema	onn
kus	kuss
tema	ta
sisse	`sisse
sööma	sööb
see	`see
olema	on
suur	suur
magu	magu
siis	siis
tulema	tuleb
ees	ees
magu	magu
kus	kuss
tanu	tanu
tema	tall
tulema	tuleb
ja	ja
siis	siis
olema	onn
sada	saea
kordne	`kordne
jah	jahh
sada	saea
kordne	`kordne
olema	onn
sada	saea
kordne	`kordne
olema	onn
kõige	keige
pisike	pisem
ka	ka
ei	äi
ei	`äij
olema	ole
mina	mina
lammas	`lambal
muu	muud
asi	`asja
mitte	`mitte
pärak	pärakku
sool	soole
ots	ots
see	see
see	see
ka	kaa
vähe	vähe
rasvane	rasvane
see	`see
saama	sai
seep	seebi
pütt	`pütti
panema	`panttut
ja	ja
ja	ja
mina	mina
muu	muud
asi	asja
mitte	`mitte
lammas	`lambal
sööma	söönud
peen	`peeneid
sool	`sooli
mitte	`mitte
jah	jahh
keetma	keededi
ikka	`ikka
keetma	keededi
aga	aga
nüüd	nüid
moorima	mooridaks
nüüd	nüid
olema	on
teine	teised
asi	asjad
jah	jahh
sült	`sültti
sült	`sültti
mina	mina
ehk	ehk
nii	`nii
kaua	kau
kui	kui
mina	mina
olema	olen
elama	eland
ja	ja
nägema	näind
mina	mina
olema	olen
kogu	kogu
see	selle
aeg	aea
sült	`sültti
keetma	keetnd
ja	ja
nägema	näi
oma	oma
vanem	vanamattest
peal	peal
jaa	jaa
ja	ja
rohkem	`rohkem
mina	ma
ei	äi
teadma	tää
vasikas	vasig
vasikas	vasigast
ja	ja
loom	looma
pea	peast
saama	saab
küll	küll
sült	`sültti
ka	kaa
siga	sea
pea	peast
saama	saab
ka	kaa
sült	`sültti
kõik	`keikkidest
saama	saab
sült	`sültti
ei	`äi
olema	jole
muu	muud
liha	liha
ei	`eij
olema	ole
kui	kui
kui	kui
sina	sa
loom	looma
tegema	teed
muu	muud
liha	liha
siis	siis
ei	`äij
olema	ole
panema	panttut
loom	loomad
aga	aga
pea	peast
saama	saab
küll	küll
see	se
pea	pea
keetma	keeda
kõik	keik
sült	süldiks
hommik	umikku
minema	läed
panema	paned
panema	paned
liha	liha
panema	paned
liha	liha
jälle	`jälle
keema	`keema
tegema	teed
pea	pea
kõige	keige
esmalt	esmalt
puhas	`puhtaks
ja	ja
teadma	tääd
sina	sa
kõige	keige
kerge	`kergem
olema	onn
loom	looma
pea	pea
puhas	`puhtaks
tegema	`tehja
siis	`siis
kui	kui
sina	sina
ots	`otsast
ära	ära
võtma	vöttad
et	`et
sina	sina
kohe	kohe
tema	teda
puhastama	puhastama
hakkama	akkad
teine	teine
võtma	vöttab
ots	`otsast
ära	ära
ja	ja
teine	teine
hakkama	akkab
puhastama	puhastama
olema	pole
mitte	`mitte
see	seda
moodi	modi
et	t
sina	sa
külm	külmaks
laskma	lased
minema	minna
ja	ja
siis	siis
panema	paned
keema	keend
vesi	vee
peale	`peale
kohe	kohe
ja	ja
silm	silma
pilk	pilk
saama	saad
oma	oma
pea	pea
saama	saad
loom	looma
pea	pea
saama	saad
puhas	`puhtaks
sedasi	sedasi
nii	nii
kerge	`kerge
olema	onn
tegema	`tehja
et	et
ju	ju
ju	ju
vasikas	vasiga
pea	pea
kui	kui
tema	ta
olema	onn
külm	külmaks
minema	läheb
siis	siis
olema	onn
nii	nii
raske	`raske
puhastama	puhasta
tema	teda
et	et
mitte	`mitte
kuidagi	kuidagid
ei	ei
tahtma	taha
puhas	`puhtaks
saama	`saada
aga	aga
siis	siis
käima	käib
särinal	särinal
see	see
töö	töö
panema	paned
panema	paned
keema	keend
vesi	vee
peale	peale
ja	ja
ja	ja
hakkama	akkad
karv	`karvu
katkuma	`katkuma
ja	ja
nuga	nuga
ka	kaa
käsi	käes
ja	ja
ja	ja
ja	ja
karv	karvad
tulema	tulevad
ära	ää
ka	ka
sorinal	sorinal
pealt	`pääld
ja	ja
tegema	teeb
nii	nii
puhas	`puhtaks
kui	kui
muul	muulad
ja	ja
need	nee
tahtma	`tahtvad
rohkem	`rohkem
saama	saada
need	nee
lõikama	`leikkad
siis	siis
pärast	pärast
ära	ära
panema	paned
sina	sa
rohkem	`rohkem
tuline	tuliss
sisse	`sisse
mis	miss
siin	sii
mokk	`mokkad
mokk	`mokk
ja	ja
alumine	alumine
mokk	mokk
muul	muulad
all	all
all	all
ja	ja
ülemine	ülemine
olema	onn
ka	kaa
see	see
pealmine	päälimine
see	see
mis	miss
mina	mina
teadma	tää
see	`sest
et	et
muul	muul
muul	muulaks
hüüdma	üitti
mina	mina
ei	äi
teadma	tää
rohkem	`rohkem
miski	midad
alumine	alumine
ja	ja
pealmine	päälimine
olema	onn
see	see
mis	miss
vastu	`vastu
maa	maad
käima	käib
see	see
olema	onn
ka	kaa
see	see
see	see
tahtma	tahab
rohkem	`rohkem
soe	`sooea
saama	`saada
see	see
ei	ei
tulema	tule
ära	ära
see	senne
see	senne
lõikama	`leikkad
ära	ära
ilusti	ilusti
see	`see
olema	on
lahti	`lahti
muu	muud
miski	midad
kui	kui
panema	paned
tuline	tulise
vesi	vee
sisse	`sisse
ja	ja
siis	siis
tegema	teed
teine	teist
kord	`korda
üle	üle
ai	ai
ei	äi
pea	pea
pealt	päält
olema	pole
mitte	`mitte
nahk	`nahka
võtma	vöettud
mõni	möned
võtma	`vötvad
küll	küll
jaa	jaa
see	see
sedasi	sedass
kuidas	kuidas
iga+üks	iga+üks
tahtma	tahab
aga	aga
see	se
aga	aga
see	se
nahk	nahk
see	see
keema	keeb
küll	küll
sült	süldiks
ka	kaa
võtma	vötttad
ilusti	ilusti
ära	ära
ja	ja
nii	nii
puhas	`puhtaks
kui	kui
puhas	`puhtaks
ja	ja
ja	ja
ja	ja
see	see
tegema	`tehtaks
veel	veel
sedasi	sedass
ka	kaa
et	t
see	see
esimene	esimene
vesi	vesi
kui	kui
sina	sa
olema	oled
küll	küll
ka	ka
puhas	`puhtaks
tegema	teind
ja	ja
siis	siss
siis	siss
suu	suu
kord	korrad
ja	ja
need	nee
kõik	keik
puha	puhas
ära	ära
keel	keele
kord	korrad
ja	ja
need	nee
tulema	tulevad
kõik	keik
ära	ära
ja	ja
siis	siss
siis	siss
panema	panttakse
natuke	nattune
vesi	vett
peale	`pääle
et	t
tema	ta
üle	üle
olema	`on
ja	ja
ajama	`aedakse
see	see
keema	`keema
ja	ja
see	see
vesi	vesi
kallama	kalttakse
näh	näh
kevad	kevatte
nemad	nad
saama	said
seeme	seeme
maha	maha
tegema	`tehtut
ja	ja
siis	siss
saama	sai
rohima	rohittut
aga	aga
sügis	sügise
saama	sai
e	e
ära	ära
kiskuma	`kistut
ja	ja
kõik	keik
saama	sai
pundar	`puntre
panema	`panttud
sedasi	sedasi
kuidas	kuidas
mina	ma
ütlema	`ütle
peo+täis	püu+dääved
tegema	`tehtut
panema	`panttud
kokku	`kokku
ja	ja
saama	sai
ära	ära
tooma	`toodud
siis	siis
saama	sait
nupp	nuppud
ots	otst
ära	ära
lina	linal
kasvama	`kasvad
nupp	nuppud
ots	`otsa
ja	ja
nupp	nuppud
ots	`otsast
ära	ära
ajama	`aedut
ja	ja
ja	ja
siis	siiss
saama	sai
jälle	`jälle
need	neet
kõik	keik
suur	suure
suur	suure
suur	suure
kimp	kimbu
tegema	`tehtut
ja	ja
meri	merese
ligu	`likku
viima	`viidut
meri	merese
vesi	vee
auk	`aukku
ja	ja
sealt	säält
saama	sai
ära	ära
tooma	`toodut
siis	siis
saama	sai
maa	maa
peal	peel
kõik	keik
laiali	laijali
laotama	`laottadut
suur	suur
kord	kord
olema	oli
nii	nii
kaua	kauwa
kui	kui
nemad	nad
seal	seal
jälle	`jälle
nii	nii
ära	ära
mädanema	`määndasid
et	et
kõik	keik
jälle	jälle
puu	puu
lahti	`lahti
tulema	tuli
siis	siis
saama	sai
proovima	proovit
et	et
kui	kui
sedasi	sedasi
puu	puu
lahti	`lahti
saama	sai
siis	siis
saama	sai
ära	ära
võtma	vöödut
ja	ja
ära	ära
kuivatama	kuivadut
rehe+tuba	rehe+`duppa
üles	üles
panema	`panttut
ja	ja
ära	ära
kuivatama	kuivadut
ja	ja
siis	siis
saama	sai
lõugutama	löugudama
hakkama	akkat
vat	vatt
see	see
olema	oli
töö	töö
ja	ja
lõugutamine	löugudamine
valmis	`valmis
siis	siis
saama	sai
ropsima	ropsit
kõik	keik
ropsi+mõõk	ropsi+möegaga
puhas	`puhtaks
ja	ja
ja	ja
sugema	soet
suur	sur
suur	suur
hari	ari
olema	oli
ja	ja
hari	arja
peal	peal
kõik	keik
ära	ära
sugema	soet
ja	ja
nukk	`nukku
panema	`panttut
ja	ja
takk	takkud
tort	`tortti
ja	ja
siis	siiss
hakkama	`akkas
talv	`talve
töö	`tööle
ketrama	kedrama
nii	nii
olema	oli
nii	nii
olema	oli
lina	linadega
töö	töö
ja	ja
kanep	kanebid
saama	sai
ka	kaa
kasvatama	kasvadut
kanep	kanebid
kasvatama	kasvadatti
ka	kaa
ja	ja
kanep	kanebittel
kasvama	`kasvas
ikka	`ikka
jälle	`jälle
koeras	koerast
ütlema	`öödi
koeras	koerast
sekka	sega
teine	teised
hakkama	`akkast
enne	enem
õitsema	`öitsema
kasvama	`kasvasid
kõrge	`körgemaks
enne	enem
saama	sai
ära	ära
kiskuma	`kistut
varem	varem
hulk	`ulkka
aeg	`aega
siis	sis
kanep	kanep
ise	ise
kasvama	`kasvas
pärast	pärast
see	seda
veel	veel
kanep	kanebil
olema	oli
jälle	`jälle
teist+moodi	teist+modi
nupp	nuppud
kus	kuss
seeme	seemes
sees	sees
olema	oli
aga	aga
koeras	koerasel
ei	äi
olema	ole
seeme	seemet
olema	olnd
need	nee
saama	said
nii+samuti	nii+sammatti
kiskuma	`kistut
jälle	`jälle
suur	sured
pihk	püud
saama	sai
kanep	kanebittest
läbi	läbi
käima	`käidut
suur	surt
iva	jäad
olema	olid
sees	sees
ja	ja
need	need
saama	said
ka	kaa
jälle	`jälle
maha	maha
panema	`panttut
ja	ja
ikka	`ikka
ikka	`ikka
jälle	`jälle
lõugutama	löugudut
ja	ja
seda+viisi	seda+visi
ja	ja
kanep	kanep
olema	oli
jälle	`jälle
sügis	sügise
hiljem	iljem
saama	sai
võtma	`vöödut
ikka	`ikka
ja	ja
ka	ka
kui	kui
need	need
saama	said
ära	ära
jälle	`jälle
kitkuma	kitkut
need	nee
saama	sai
ära	ära
kuivatama	kuivatta
siis	siiss
saama	sai
jälle	`jälle
ö	ö
seeme	`seemned
välja	`välja
lööma	`löödut
vastu	`vastu
pink	`pinkki
või	vöi
üks	`ühte
koht	`kohta
panema	pannime
veel	veel
kivi	kivi
vastu	`vastu
ja	ja
lööma	löime
kivi	kivide
otsas	`otsas
nupp	nuppud
ots	otst
ära	ära
ja	ja
siis	sis
siis	siis
saama	sai
leotama	`liudetti
ka	kaa
ära	ära
ja	ja
panema	`pantti
ikka	`ikka
jälle	`jälle
maha	maha
aga	aga
need	näid
ei	äi
olema	ole
laiali	laijali
maha	maha
panema	`panttut
need	nee
panema	`pantti
aed	aea
äärde	`ääre
saama	sai
nii	nii
kaua	kauwa
vesi	vee
sees	sees
enam	änam
ära	ära
mädandama	`määndut
et	et
aed	aea
ääres	`ääres
panema	`pantti
püsti	`püsti
ja	ja
saama	sai
ära	ära
kuivatama	kuivadut
ja	ja
siis	siiss
lõugutama	löugudut
ja	ja
ikka	`ikka
jälle	`jälle
ropsima	ropsit
ja	ja
sugema	suet
ja	ja
sedasi	sedasi
need	nee
need	nee
töö	tööd
olema	olid
seda+viisi	seda+visi
aga	äga
ketrus	kedrus
olema	oli
talv	`talve
ots	`otsa
jaoks	jäuks
kui	kui
tuba	tuas
näh	nähh
ikka	`ikka
saama	sai
nii+samuti	nii+sammatti
jälle	`jälle
käsi	`keega
saama	sai
viskama	visatta
vanasti	vanast
saama	sai
vanasti	vanast
saama	sai
vili	vili
käsi	`keega
maha	maha
panema	`panttut
sedasi	sedasi
külvama	külisi
olema	olin
ise	ise
külvaja	külija
külvama	külisin
vili	`vilja
külvama	külisin
ka	kaa
lina	lina
seeme	`seemned
ja	ja
kanep	kanebid
kõik	keik
vähene	vähene
põld	pöllu
peal	peel
saama	sai
vähene	vähene
sitme	`sitme
vedama	`veedut
ja	ja
ja	ja
siis	siiss
see	seda
viirg	`viirga
mööda	`mööda
kaks	kahe
viirg	vira
vahel	vahel
saama	sai
maha	maha
külvama	külit
see	seks
jagu	jäuks
olema	oli
sitme+kook	`sitme+kook
noh	nohh
pidama	peab
ütlema	`ütlema
see	see
ikka	`ikka
ka	kaa
vana	vana
sõna	söna
nõnda	nönda
nõnda	nönda
olema	oli
need	need
töö	tööd
ja	ja
siis	siss
lina	lina
saama	sai
ikka	`ikka
äke	`äkke
all	all
maha	maha
tegema	`tehtut
ja	ja
ja	ja
siis	siiss
e	e
kanep	kanep
nii+samuti	ni+sammatti
ka	kaa
siis	sis
need	nende
seeme	seeme
pole	pole
väga	väga
sügav	sügavass
mis	mes
ei	ei
mina	mina
küll	küll
see	seda
pole	pole
nii	nii
tähtis	`tähtsaks
panema	pannund
ei	äi
olema	jole
nõnda	nönda
võima	vöib
olema	`olla
et	et
mina	moost
vana	vanemad
need	need
võima	vöist
rohkem	`rohkem
vaatama	`vaatta
aga	aga
mina	mena
pole	pole
see	seda
vaatama	`vaattand
hiljem	iljem
üks	üks
aeg	aeg
olema	oli
pea+aegu	pea+`aegu
vili	vili
saama	sai
tegema	`tehtud
ju	ju
siis	siss
see	see
olema	oli
vilja+tegu	vilja+degu
ajal	aeal
ikka	`ikka
ka	kaa
saama	sai
maha	maha
külvama	külit
need	need
saama	said
ikka	`ikka
nagu	`naagu
üks+teise	ühe+deise
järgi	`järge
tegema	`tehtut
no	no
kuidas	kuidas
mina	ma
pidama	pea
ütlema	`ütlema
üks	üks
pikk	pitk
vars	vars
olema	oli
ja	ja
siis	siiss
panema	`pantti
sinna	`senna
kuidas	kuidas
tema	ta
olema	oli
üks	üks
suur	suur
pulk	pulk
panema	`pantti
ots	otsa
sisse	`sisse
ots	ots
terav	teravaks
ja	ja
see	sellega
see	see
olema	oli
sitme+kook	`sitme+gook
jah	jahh
ikka	`ikka
jääma	jähi
maa	maa
peal	peal
saama	sai
vedama	`veedut
see	see
olema	oli
mina	mul
järel	järel
kui	kui
minema	läksid
ja	ja
siis	siss
maa	maa
peale	`peale
võtma	`vöttis
ikka	`ikka
vähe	vähe
viirg	vira
seda+viisi	seda+visi
seda+viisi	seda+visi
lina	lina
rohima	`rohtima
olema	oli
nii+samuti	nii+sammatti
olema	olid
pidama	pidid
ikka	`ikka
ise	ise
sees	sees
olema	olema
ja	ja
kitkuma	`kitkuma
mis	mis
rohi	`rohtu
sees	sees
olema	oli
kõik	keik
ära	ära
muidu	muidu
kui	kui
rohi	rohi
sees	sees
olema	oli
siis	siiss
olema	oli
väga	väga
paha	paha
ä	ä
sant	sant
jälle	`jälle
mina	ma
panema	pane
ikka	`ikka
vana	vana
keel	keeles
sant	sant
jälle	`jälle
noh	nohh
lina	lina
kiskuma	`kiskuda
jälle	`jälle
kui	kui
see	se
rohi	rohi
seas	seas
olema	oli
siis	siis
rikkuma	`rikkus
lina	lina
ära	ära
e	e
põllu+rohi	pöllu+rohi
ikka	`ikke
mis	miss
põld	pöllu
peal	peal
olema	onn
põld	pöllu
peal	pel
kasvama	kasvab
ohakas	ohagit
ja	ja
mis	mis
mis+sugune	mis+sugune
maa+pind	maa+bind
olema	on
nõnda	nönda
nõnda	nönda
olema	oli
kasvama	`kasvas
iga	igal
pool	pool
kasvama	`kasvas
liiv	liva
peal	peal
ja	ja
savi	sauwe
peal	peal
ka	kaa
kõige	keige
rohkem	`rohkem
mina	mena
elama	elasin
liiva+põld	liva+böllu
sees	ses
peal	peel
kasvatama	kasvadasin
ikka	`ikka
liiv	liva
põld	pöllu
peal	peal
noh	nohh
see	see
mina	mul
jääma	jäi
vahele	vahele
see	seks
jaoks	jäuks
olema	oli
üks	üks
suur	suur
ropsi+mõõk	ropsi+möök
suur	suur
teine	teise
otsas	`otsas
olema	oli
teine	teina
hõbe	höbe
jälle	`jälle
na	na
terav	terava
ots	ots
see	se
olema	oli
pihk	püus
siis	sis
vahe+koht	vahe+goht
olema	oli
na	naa
suur	sur
terav	terava
suur	suur
lai	lai
laud	laud
ja	ja
teine	teina
äär	äär
olema	oli
terav	terava
teine	teina
äär	äär
olema	oli
nüri	nüri
ja	ja
siis	siiss
see	se
olema	on
suur	sur
pulk	pulk
pulk	pulgad
pole	pole
mitte	`mette
ots	`otsas
olema	`ondend
ots	otsad
olema	olid
peen	`peenemad
kus	kus
käsi	käes
kinni	`kinni
olema	olid
seda+viisi	seda+visi
ei	äi
olema	ole
see	seda
see	see
panema	`pantti
pink	pingi
peale	`peale
ise	ise
istuma	`istust
pink	pingi
peal	peal
ää	ää
lina	lina
kimp	kimbu
peal	peel
pihk	püu
peale	`peele
ja	ja
siis	siss
see	see
olema	oli
nii	nii
palju	`palju
alt	alt
väljas	`väljas
siis	siis
hakkama	`hakkast
see	seda
lükkama	`lükkama
ära	ära
ja	ja
see	see
pole	pole
nii	nii
kerge	`kerge
olema	olnd
see	seda
saama	sai
nii	nii
palju	`palju
pöörama	`pöörda
et	et
hirm	erm
enne	enem
kui	kui
sina	saa
kõik	keik
ära	ära
saama	said
ots	`otsast
seda+viisi	seda+visi
seda+viisi	seda+visi
saama	sai
lina	linu
tegema	`tehtut
nupp	nuppud
saama	sai
jälle	`jälle
ära	ära
kuivatama	kuivadut
ja	ja
siis	siis
varvas	varbaga
ära	ära
varbama	varbadut
ja	ja
siis	siis
ära	ära
tuulama	tuulatta
siis	siis
saama	sai
seeme	`seemned
kätte	`kätte
nupp	nuppu
nupp	`nuppude
sees	sees
olema	olid
seeme	`seemned
ja	ja
nupp	nuppud
pidama	pidi
kõik	keik
peen	`peeneks
saama	`saama
tampima	tambit
ja	ja
näh	nähh
tema	taa
olema	oli
tema	taa
olema	oli
seal	sääl
nupp	nuppu
sees	sees
need	neid
olema	oli
üsna	ühna
palju	`palju
seal	säl
nupp	nuppu
sees	sees
ümber+ringi	`ümber+`rinkki
ja	ja
tema	ta
olema	on
peen	peen
ja	ja
libe	libe
olema	oli
küll	küll
sealt	seelt
aga	aga
tema	ta
seda+viisi	seda+`viisi
olema	oli
see	sellega
pole	pole
tegema	`tehtut
miski	midagi
muu	muut
kui	kui
a	a
ah	ahh
kui	kui
vahel	vahel
loom	looma
jälle	`jälle
seedimine	`seedimine
kinni	`kinni
olema	oli
siis	siis
saama	sai
vahest	vahest
lina	lina
seeme	`seemneid
keetma	keedet
see	see
olema	oli
loom	`loomde
arsti+rohi	arsti+rohi
ja	ja
see	see
pidama	peab
praegu	`praegu
praegu	`praegu
veel	veel
olema	olema
see	seda
pole	pole
muu	muud
asi	`asja
kui	kui
seeme	seeme
olema	oli
maha	maha
jälle	`jälle
külvama	külit
külvama	külida
teine	teise
aasta	`aasta
jah	jaahh
viima	`viidi
ligu	liguse
jah	jaahh
ja	ja
ligu	ligust
tooma	`toodi
ära	ära
siis	siis
saama	sai
kõik	keik
kare	`karge
peale	`peale
laiali	laijali
panema	`panttut
sedasi	sedasi
viirg	`viirga
teine	teina
viirg	viirg
teine	teina
olema	oli
viirg	viirg
ja	ja
suur	suur
hulk	hulk
maa	maad
saama	sai
üsna	ühna
täis	täis
panema	`panttut
sinna	`senna
saama	sai
ka	kaa
jälle	`jälle
puu	puud
peale	`peale
panema	`panttut
ja	ja
kivi	kivid
peale	`peale
panema	`panttut
mis	mes
asi	`asja
need	neid
puu	puid
ei	äi
need	neid
pole	pole
hüüdma	`üittut
miski	medad
puu	puu
latt	lattid
panema	`pantti
peale	`peale
ja	ja
kivi	kivid
panema	`pantti
puu	`puude
peale	`peale
ja	ja
et	et
vesi	vee
sees	sees
seisma	`seisid
jah	jahh
kare	`karge
peale	`peale
panema	`pantti
kuivama	`kuivama
siis	siis
pidama	`peedi
nii	nii
kaua	kauwa
seal	seal
kare	`karge
peal	peal
mädanema	`määndamas
kui	kui
tema	täma
mure	mureks
minema	läks
ja	ja
see	see
puu	puu
jälle	`jälle
ja	ja
siis	siiss
siis	siiss
jälle	`jälle
lina	lina
kiud	kiu
jälle	`jälle
puu	puust
ära	ära
lahkuma	`lahkus
nõnda	nönda
saama	sai
tegema	`tehtut
jah	jaahh
eks	eks
siis	siis
saama	sai
tuba	tuba
üles	üles
nagu	nagu
vanasti	vanasti
olema	oli
rehe+tuba	rehe+duba
panema	`pantti
üles	üles
pars	parsile
ja	ja
ja	ja
lõugutamine	löugudamise
aeg	`aega
siis	siis
pole	pole
üks	üks
inimene	inimene
need	neid
lõugutama	löugut
siis	sis
saama	sai
kutsuma	kutsut
ka	kaa
teine	`teisi
noor	`noori
inimene	inimesi
ja	ja
jälle	`jälle
kokku	`kokku
ja	ja
ja	ja
saama	sai
pärast	pärast
õhtu	`öhtu
veel	veel
lõbu	löbu
pidama	`peedut
ja	ja
see	see
seda+viisi	seda+visi
saama	sai
lõuk	löuk
olema	oli
mina	mool
olema	oli
kaks	kaks
lõuk	`löukku
ja	ja
tooma	töin
mina	ma
olema	oli
elama	elasin
Mäeltse	`Mäeltsel
enne	enem
ja	ja
nüüd	nüid
tulema	tulin
siia	`siija
nüüd	nüid
saagima	`saesin
katki	`katki
ja	ja
panema	panin
pliit	plitta
alla	`alla
ei	äi
olema	ole
enam	änam
tarvis	`tarvis
kahju	`kahju
olema	oli
vaatama	`vaatta
ka	kaa
töö+riist	töö+riist
ära	ära
põletama	pöletta
kes	killega
olema	oli
see	see
olema	oli
see	see
olema	oli
ka	kaa
sedasi	sedasi
jalg	jalad
olema	olid
all	all
ja	jaa
suur	sur
käsi	kää
hakati	akkadi
olema	oli
käsi	käe
ja	ja
saama	sai
ja	ja
siis	siss
kolm	kolm
soon	soond
olema	oli
see	sene
alumine	alumisel
olema	oli
soon	soon
nii	nii
et	et
üks	üks
käima	käis
üles	üles
ja	ja
teine	teina
alla	`alla
nõnda	nenda
olema	oli
kaas	kaanel
jälle	`jälle
soon	soon
keskel	`kespe
paik	`paikkas
ja	ja
äär	eered
sedasi	sedasi
käima	käist
teine	teine
teine	teise
sees	sees
need	need
lõuk	löugu
soon	sooned
ja	ja
siis	siss
see	selle
vahel	vahel
pidama	pidi
olema	olema
saama	sai
katki	`katki
peksma	`pekstut
ja	ja
siis	siis
vedama	`veedut
jälle	`jälle
lõuk	löugu
vahelt	vaheld
ja	ja
küll	küll
see	see
töö	töö
tegema	teeks
praegu	`praegu
see	seda
töö	tööd
nõnda	nönda
veel	veel
et	et
olema	oleks
saama	sai
katki	`katki
peksma	`pekstut
ja	ja
siis	siis
hakkama	`akkast
jälle	`jälle
panema	paned
käsi	käe
ümber	`ümbere
sõõre	`söörde
ja	ja
näh	nähh
vasak	vasakku
käsi	käe
ümber	`ümber
parem	parema
käsi	`käega
saama	sai
lõuk	`löukku
tõstma	töstet
lõuk	`löukku
kaas	kaan
ikka	`ikka
lööma	`löödut
ja	ja
siis	siss
vedama	vidast
sedasi	sedasi
viskama	`viskast
läbi	läbi
lõuk	löugu
kaas	kaane
vahelt	vahelt
ja	ja
ja	ja
vedama	vidast
sorts	sorts
ja	ja
sorts	sorts
nii+moodi	nii+modi
oh	ohh
see	see
olema	oli
jälle	`jälle
vanasti	vanast
hark	ark
jälle	jälle
mõrd	mörra
hark	argid
olema	olid
need	nee
olema	olid
jälle	`jälle
kesk+paik	kesk+`paikkas
need	nee
panema	`pantti
hark	hargi
haru	harude
vahele	vahele
sinna	`senna
ja	ja
kui	kui
jälle	`jälle
nii	nii
palju	`palju
saama	sai
siis	siis
siduma	`siudi
kimp	`kimppu
ja	ja
ots	otsad
keerama	`keerdi
ära	ära
ja	ja
nii	nii
kauaks	kauwaks
kui	kui
jälle	`jälle
ropsima	`ropsima
siis	siss
siis	siss
võtma	vöedi
lahti	`lahti
ja	ja
hakkama	akkedi
jälle	`jälle
jah	jaahh
sõõre	`söördeks
sõõre	`söörded
lina	lina
sõõre	`söörded
olema	olid
need	nee
peo+täis	peo+däijed
need	nee
olema	olid
sõõre	`söörded
seda+viisi	seda+visi
noh	nohh
see	se
see	see
olema	oli
nii+samuti	ni+sammatti
ka	kaa
üks	üks
ropsi+mõõk	ropsi+möök
kuidas	kuidas
tema	ta
olema	oli
jälle	jälle
üks	üks
no	no
ä	ä
laud	laud
olema	oli
teine	teina
äär	äär
olema	oli
terav	terava
ja	ja
ots	ots
olema	oli
jälle	jälle
ilusti	ilusti
teine	teina
ots	ots
olema	oli
ümmargune	ümargane
või	vöi
olema	olnd
tema	ta
mis	mess
tahtma	tahab
ja	ja
teine	teise
ots	ots
olema	oli
