trampima	`tramppist
saama	sai
töö	tööd
küll	küll
tegema	teha
ja	ja
jalg	jalad
olema	onn
selle+pärast	senne+pärast
mina	mull
haige	`aiged
jalg	jalad
olema	onn
nii	nii
haige	`aiged
mitte	`mitte
ei	ei
saama	saa
käima	`käija
ei	äi
ja	ja
et	t
minema	läheks
ka	ka
koht	kohe
peal	pel
ei	äi
saama	saa
pidama	pean
kodu	kodu
olema	olema
mina	maa
kõndima	köngin
siin	sii
põrand	pärandal
köök	köögi
põrand	pärandal
ja	ja
keetma	keedan
ka	kaa
ja	ja
siis	siis
pesema	pesen
ka	kaa
jälle	jälle
nõu	nöud
sööma+nõu	sööma+`nöusid
pere+naine	pere+naine
minema	läks
Kärdla	`Kärdla
täna	täna
ega	ega
mina	ma
mõni	möne
asi	asjaga
siin	sii
suur	suure
vaev	vaevaga
ja	ja
mina	maa
olema	ole
juba	juba
nii	nii
vana	vana
ka	kaa
et	et
et	et
see	se
olema	onn
juba	juba
juba	juba
kaks	kahe
inimene	inimese
iga	iga
ka	kaa
üheksa+kümmend	üheksa+kümmend
olema	onn
mina	mull
jälle	`jälle
talv	`talve
ah	aah
mis+moodi	miss+modi
see	neid
kündma	`küntti
see	nee
kündma	`küntti
ikka	`ikka
sedasi	sedasi
ette	`ette
ka	kaa
ja	ja
ei	äi
olema	ole
mitte	`mitte
sedasi	sedasi
panema	`panttud
et	et
kündma	`kündmatta
ikka	ikka
kündma	`kün'tti
sedasi	sedasi
enne	`enne
üles	ülese
ja	ja
äestama	`äästad
ära	ära
äke	ägega
ja	ja
siis	siis
panema	`pantti
hakkama	akkadi
vagu	vagusid
sisse	`sisse
ajama	`aema
ja	ja
siis	siis
hakkama	akkedi
kartul	`karduld
maha	maha
panema	panema
aga	a
ikka	`ikka
kündma	`küntti
enne	`enne
üles	ülesse
ka	kaa
ajama	`aedi
ikka	`ikka
segamini	segameni
olema	pole
seda+moodi	seda+moodi
mitte	`mitte
olema	olnd
et	et
et	et
olema	pole
jälle	`jälle
kevad	kevade
kündma	`künttud
end	end
kevad	kevade
ikka	`ikka
kündma	`küntti
ja	ja
sügis	sügise
kündma	`küntti
